VARS 3008 TO 3018 CKT '1 ', Time(s), VOLT 101 [NUC-A 21.600], VOLT 102 [NUC-B 21.600], VOLT 151 [NUCPANT 500.00], VOLT 152 [MID500 500.00], VOLT 153 [MID230 230.00], VOLT 154 [DOWNTN 230.00], VOLT 201 [HYDRO 500.00], VOLT 202 [EAST500 500.00], VOLT 203 [EAST230 230.00], VOLT 204 [SUB500 500.00], VOLT 205 [SUB230 230.00], VOLT 206 [URBGEN 18.000], VOLT 211 [HYDRO_G 20.000], VOLT 3001 [MINE 230.00], VOLT 3002 [E. MINE 500.00], VOLT 3003 [S. MINE 230.00], VOLT 3004 [WEST 500.00], VOLT 3005 [WEST 230.00], VOLT 3006 [UPTOWN 230.00], VOLT 3007 [RURAL 230.00], VOLT 3008 [CATDOG 230.00], VOLT 3011 [MINE_G 13.800], VOLT 3018 [CATDOG_G 13.800], POWR 101 TO 151 CKT '1 ', VARS 101 TO 151 CKT '1 ', POWR 102 TO 151 CKT '1 ', VARS 102 TO 151 CKT '1 ', POWR 151 TO 152 CKT '1 ', VARS 151 TO 152 CKT '1 ', POWR 151 TO 152 CKT '2 ', VARS 151 TO 152 CKT '2 ', POWR 151 TO 201 CKT '1 ', VARS 151 TO 201 CKT '1 ', POWR 152 TO 153 CKT '1 ', VARS 152 TO 153 CKT '1 ', POWR 152 TO 202 CKT '1 ', VARS 152 TO 202 CKT '1 ', POWR 152 TO 3004 CKT '1 ', VARS 152 TO 3004 CKT '1 ', POWR 153 TO 154 CKT '1 ', VARS 153 TO 154 CKT '1 ', POWR 153 TO 154 CKT '2 ', VARS 153 TO 154 CKT '2 ', POWR 153 TO 3006 CKT '1 ', VARS 153 TO 3006 CKT '1 ', POWR 154 TO 203 CKT '1 ', VARS 154 TO 203 CKT '1 ', POWR 154 TO 205 CKT '1 ', VARS 154 TO 205 CKT '1 ', POWR 154 TO 3008 CKT '1 ', VARS 154 TO 3008 CKT '1 ', POWR 201 TO 202 CKT '1 ', VARS 201 TO 202 CKT '1 ', POWR 201 TO 204 CKT '1 ', VARS 201 TO 204 CKT '1 ', POWR 201 TO 211 CKT '1 ', VARS 201 TO 211 CKT '1 ', POWR 202 TO 203 CKT '1 ', VARS 202 TO 203 CKT '1 ', POWR 203 TO 205 CKT '1 ', VARS 203 TO 205 CKT '1 ', POWR 203 TO 205 CKT '2 ', VARS 203 TO 205 CKT '2 ', POWR 204 TO 205 CKT '1 ', VARS 204 TO 205 CKT '1 ', POWR 205 TO 206 CKT '1 ', VARS 205 TO 206 CKT '1 ', POWR 3001 TO 3002 CKT '1 ', VARS 3001 TO 3002 CKT '1 ', POWR 3001 TO 3003 CKT '1 ', VARS 3001 TO 3003 CKT '1 ', POWR 3001 TO 3011 CKT '1 ', VARS 3001 TO 3011 CKT '1 ', POWR 3002 TO 3004 CKT '1 ', VARS 3002 TO 3004 CKT '1 ', POWR 3003 TO 3005 CKT '1 ', VARS 3003 TO 3005 CKT '1 ', POWR 3003 TO 3005 CKT '2 ', VARS 3003 TO 3005 CKT '2 ', POWR 3004 TO 3005 CKT '1 ', VARS 3004 TO 3005 CKT '1 ', POWR 3005 TO 3006 CKT '1 ', VARS 3005 TO 3006 CKT '1 ', POWR 3005 TO 3007 CKT '1 ', VARS 3005 TO 3007 CKT '1 ', POWR 3005 TO 3008 CKT '1 ', VARS 3005 TO 3008 CKT '1 ', POWR 3007 TO 3008 CKT '1 ', VARS 3007 TO 3008 CKT '1 ', POWR 3008 TO 3018 CKT '1 '
0.3027, 0.0, 1.02, 1.02, 1.0239, 1.0394, 1.0761, 1.0159, 1.057, 1.0317, 0.9891, 1.0052, 1.0235, 1.0226, 1.0362, 1.0415, 1.045, 1.0431, 1.0517, 1.0411, 1.0663, 1.018, 1.014, 1.04, 1.0139, 462.4193, -25.7218, 462.4193, -25.7218, 276.2938, -216.713, 276.2938, -216.713, 371.014, -303.156, 437.0542, 398.3523, 182.2854, 15.5047, -70.593, -170.1719, 187.8917, 123.3951, 156.5764, 98.9695, -50.4181, 89.8787, -127.6752, 79.3365, -235.4089, -211.485, -105.3273, 7.4591, 370.6165, -19.1384, 370.0686, 23.7261, -371.5346, 129.4396, 550.0106, 280.2696, 97.1269, -87.7067, 97.1269, -87.7067, 365.6747, 245.7465, -513.143, 33.6511, 169.9245, -25.4378, 378.6107, -15.4103, -548.5353, 40.8481, 169.8429, -29.52, 189.3054, -12.9996, 189.3054, -12.9996, 97.4589, 67.2206, 50.8758, -96.8482, 233.4587, 70.7327, 155.2719, 36.5827, 75.9029, 4.7987, -19.1343
0.3027, 0.0042, 1.02, 1.02, 1.0239, 1.0394, 1.0761, 1.0159, 1.057, 1.0317, 0.9891, 1.0052, 1.0235, 1.0226, 1.0362, 1.0415, 1.045, 1.0431, 1.0517, 1.0411, 1.0663, 1.018, 1.014, 1.04, 1.0139, 462.4193, -25.7218, 462.4193, -25.7218, 276.2938, -216.713, 276.2938, -216.713, 371.014, -303.156, 437.0542, 398.3524, 182.2854, 15.5047, -70.593, -170.1719, 187.8916, 123.3951, 156.5764, 98.9695, -50.4181, 89.8787, -127.6752, 79.3365, -235.4089, -211.485, -105.3273, 7.4591, 370.6165, -19.1384, 370.0686, 23.7261, -371.5346, 129.4395, 550.0106, 280.2696, 97.1269, -87.7067, 97.1269, -87.7067, 365.6747, 245.7465, -513.143, 33.6511, 169.9245, -25.4378, 378.6107, -15.4103, -548.5353, 40.8481, 169.8429, -29.52, 189.3054, -12.9996, 189.3054, -12.9996, 97.4589, 67.2206, 50.8758, -96.8482, 233.4587, 70.7327, 155.2719, 36.5827, 75.9029, 4.7987, -19.1343
0.3027, 0.0083, 1.02, 1.02, 1.0239, 1.0394, 1.0761, 1.0159, 1.057, 1.0317, 0.9891, 1.0052, 1.0235, 1.0226, 1.0362, 1.0415, 1.045, 1.0431, 1.0517, 1.0411, 1.0663, 1.018, 1.014, 1.04, 1.0139, 462.4193, -25.7218, 462.4193, -25.7218, 276.2938, -216.713, 276.2938, -216.713, 371.014, -303.156, 437.0542, 398.3524, 182.2853, 15.5047, -70.593, -170.1719, 187.8916, 123.3951, 156.5764, 98.9695, -50.4181, 89.8787, -127.6752, 79.3365, -235.4089, -211.485, -105.3273, 7.4591, 370.6165, -19.1384, 370.0686, 23.7261, -371.5346, 129.4395, 550.0106, 280.2696, 97.1269, -87.7067, 97.1269, -87.7067, 365.6747, 245.7465, -513.143, 33.6511, 169.9245, -25.4378, 378.6107, -15.4103, -548.5353, 40.8481, 169.8429, -29.52, 189.3054, -12.9996, 189.3054, -12.9996, 97.4589, 67.2206, 50.8758, -96.8482, 233.4587, 70.7327, 155.2719, 36.5827, 75.9029, 4.7987, -19.1343
0.3027, 0.0125, 1.02, 1.02, 1.0239, 1.0394, 1.0761, 1.0159, 1.057, 1.0317, 0.9891, 1.0052, 1.0235, 1.0226, 1.0362, 1.0415, 1.045, 1.0431, 1.0517, 1.0411, 1.0663, 1.018, 1.014, 1.04, 1.0139, 462.4193, -25.7218, 462.4193, -25.7218, 276.2938, -216.713, 276.2938, -216.713, 371.014, -303.156, 437.0542, 398.3524, 182.2854, 15.5047, -70.593, -170.1719, 187.8916, 123.3951, 156.5764, 98.9695, -50.4181, 89.8787, -127.6752, 79.3365, -235.4089, -211.485, -105.3273, 7.4591, 370.6165, -19.1384, 370.0686, 23.7261, -371.5346, 129.4395, 550.0106, 280.2696, 97.1269, -87.7067, 97.1269, -87.7067, 365.6747, 245.7465, -513.143, 33.6511, 169.9245, -25.4378, 378.6107, -15.4103, -548.5353, 40.8481, 169.8429, -29.52, 189.3054, -12.9996, 189.3054, -12.9996, 97.4589, 67.2206, 50.8758, -96.8482, 233.4587, 70.7327, 155.2719, 36.5827, 75.9029, 4.7987, -19.1343
0.3027, 0.0167, 1.02, 1.02, 1.0239, 1.0394, 1.0761, 1.0159, 1.057, 1.0317, 0.9891, 1.0052, 1.0235, 1.0226, 1.0362, 1.0415, 1.045, 1.0431, 1.0517, 1.0411, 1.0663, 1.018, 1.014, 1.04, 1.0139, 462.4193, -25.7218, 462.4193, -25.7218, 276.2938, -216.713, 276.2938, -216.713, 371.014, -303.156, 437.0542, 398.3523, 182.2854, 15.5047, -70.593, -170.1719, 187.8916, 123.3951, 156.5764, 98.9695, -50.4181, 89.8787, -127.6752, 79.3365, -235.4089, -211.485, -105.3273, 7.4591, 370.6165, -19.1384, 370.0686, 23.7261, -371.5346, 129.4395, 550.0106, 280.2696, 97.1269, -87.7067, 97.1269, -87.7067, 365.6747, 245.7465, -513.143, 33.6511, 169.9245, -25.4378, 378.6107, -15.4103, -548.5353, 40.8481, 169.8429, -29.52, 189.3054, -12.9996, 189.3054, -12.9996, 97.4589, 67.2206, 50.8758, -96.8482, 233.4587, 70.7327, 155.2719, 36.5827, 75.9029, 4.7987, -19.1343
0.3027, 0.0208, 1.02, 1.02, 1.0239, 1.0394, 1.0761, 1.0159, 1.057, 1.0317, 0.9891, 1.0052, 1.0235, 1.0226, 1.0362, 1.0415, 1.045, 1.0431, 1.0517, 1.0411, 1.0663, 1.018, 1.014, 1.04, 1.0139, 462.4193, -25.7218, 462.4193, -25.7218, 276.2938, -216.713, 276.2938, -216.713, 371.014, -303.156, 437.0542, 398.3523, 182.2854, 15.5047, -70.593, -170.1719, 187.8917, 123.3951, 156.5764, 98.9695, -50.4181, 89.8787, -127.6752, 79.3365, -235.4089, -211.485, -105.3273, 7.4591, 370.6165, -19.1384, 370.0686, 23.7261, -371.5346, 129.4395, 550.0106, 280.2696, 97.1269, -87.7067, 97.1269, -87.7067, 365.6747, 245.7465, -513.143, 33.6511, 169.9245, -25.4378, 378.6107, -15.4103, -548.5353, 40.8481, 169.8429, -29.52, 189.3054, -12.9996, 189.3054, -12.9996, 97.4589, 67.2206, 50.8758, -96.8482, 233.4587, 70.7327, 155.2719, 36.5827, 75.9029, 4.7987, -19.1343
0.3027, 0.025, 1.02, 1.02, 1.0239, 1.0394, 1.0761, 1.0159, 1.057, 1.0317, 0.9891, 1.0052, 1.0235, 1.0226, 1.0362, 1.0415, 1.045, 1.0431, 1.0517, 1.0411, 1.0663, 1.018, 1.014, 1.04, 1.0139, 462.4193, -25.7218, 462.4193, -25.7218, 276.2938, -216.713, 276.2938, -216.713, 371.014, -303.156, 437.0542, 398.3523, 182.2854, 15.5047, -70.593, -170.1719, 187.8917, 123.3951, 156.5764, 98.9695, -50.4181, 89.8787, -127.6752, 79.3365, -235.4089, -211.485, -105.3273, 7.4591, 370.6165, -19.1384, 370.0686, 23.7261, -371.5346, 129.4395, 550.0106, 280.2696, 97.1269, -87.7067, 97.1269, -87.7067, 365.6747, 245.7465, -513.143, 33.6511, 169.9245, -25.4378, 378.6107, -15.4103, -548.5353, 40.8481, 169.8429, -29.52, 189.3054, -12.9996, 189.3054, -12.9996, 97.4589, 67.2206, 50.8758, -96.8482, 233.4587, 70.7327, 155.2719, 36.5827, 75.9029, 4.7986, -19.1343
0.3027, 0.0292, 1.02, 1.02, 1.0239, 1.0394, 1.0761, 1.0159, 1.057, 1.0317, 0.9891, 1.0052, 1.0235, 1.0226, 1.0362, 1.0415, 1.045, 1.0431, 1.0517, 1.0411, 1.0663, 1.018, 1.014, 1.04, 1.0139, 462.4193, -25.7218, 462.4193, -25.7218, 276.2938, -216.713, 276.2938, -216.713, 371.014, -303.156, 437.0542, 398.3523, 182.2854, 15.5047, -70.593, -170.1719, 187.8917, 123.3951, 156.5764, 98.9695, -50.4181, 89.8787, -127.6752, 79.3365, -235.4089, -211.485, -105.3273, 7.4591, 370.6165, -19.1384, 370.0686, 23.7261, -371.5346, 129.4395, 550.0106, 280.2696, 97.1269, -87.7067, 97.1269, -87.7067, 365.6747, 245.7465, -513.143, 33.6511, 169.9245, -25.4378, 378.6107, -15.4103, -548.5353, 40.8481, 169.8429, -29.52, 189.3054, -12.9996, 189.3054, -12.9996, 97.4589, 67.2206, 50.8758, -96.8482, 233.4587, 70.7327, 155.2719, 36.5827, 75.9029, 4.7986, -19.1343
0.3027, 0.0333, 1.02, 1.02, 1.0239, 1.0394, 1.0761, 1.0159, 1.057, 1.0317, 0.9891, 1.0052, 1.0235, 1.0226, 1.0362, 1.0415, 1.045, 1.0431, 1.0517, 1.0411, 1.0663, 1.018, 1.014, 1.04, 1.0139, 462.4193, -25.7218, 462.4193, -25.7218, 276.2938, -216.713, 276.2938, -216.713, 371.014, -303.156, 437.0542, 398.3523, 182.2854, 15.5047, -70.593, -170.1719, 187.8917, 123.3951, 156.5764, 98.9695, -50.4181, 89.8787, -127.6752, 79.3366, -235.4089, -211.485, -105.3273, 7.459, 370.6165, -19.1384, 370.0686, 23.7261, -371.5346, 129.4395, 550.0106, 280.2696, 97.1269, -87.7067, 97.1269, -87.7067, 365.6747, 245.7465, -513.143, 33.6511, 169.9245, -25.4378, 378.6107, -15.4103, -548.5353, 40.8481, 169.8429, -29.52, 189.3054, -12.9996, 189.3054, -12.9996, 97.4589, 67.2206, 50.8758, -96.8482, 233.4587, 70.7327, 155.2719, 36.5827, 75.9029, 4.7986, -19.1343
0.3027, 0.0375, 1.02, 1.02, 1.0239, 1.0394, 1.0761, 1.0159, 1.057, 1.0317, 0.9891, 1.0052, 1.0235, 1.0226, 1.0362, 1.0415, 1.045, 1.0431, 1.0517, 1.0411, 1.0663, 1.018, 1.014, 1.04, 1.0139, 462.4193, -25.7218, 462.4193, -25.7218, 276.2938, -216.713, 276.2938, -216.713, 371.014, -303.156, 437.0542, 398.3523, 182.2854, 15.5047, -70.593, -170.1719, 187.8917, 123.3951, 156.5764, 98.9695, -50.4181, 89.8787, -127.6752, 79.3366, -235.4089, -211.485, -105.3273, 7.459, 370.6165, -19.1384, 370.0686, 23.7261, -371.5346, 129.4396, 550.0106, 280.2696, 97.1269, -87.7067, 97.1269, -87.7067, 365.6747, 245.7465, -513.143, 33.6511, 169.9245, -25.4378, 378.6107, -15.4103, -548.5353, 40.8481, 169.8429, -29.52, 189.3054, -12.9996, 189.3054, -12.9996, 97.4589, 67.2206, 50.8758, -96.8482, 233.4587, 70.7327, 155.2719, 36.5827, 75.9029, 4.7986, -19.1343
