Time(s), VOLT 101 [NUC-A 21.600], VOLT 102 [NUC-B 21.600], VOLT 151 [NUCPANT 500.00], VOLT 152 [MID500 500.00], VOLT 153 [MID230 230.00], VOLT 154 [DOWNTN 230.00], VOLT 201 [HYDRO 500.00], VOLT 202 [EAST500 500.00], VOLT 203 [EAST230 230.00], VOLT 204 [SUB500 500.00], VOLT 205 [SUB230 230.00], VOLT 206 [URBGEN 18.000], VOLT 211 [HYDRO_G 20.000], VOLT 3001 [MINE 230.00], VOLT 3002 [E. MINE 500.00], VOLT 3003 [S. MINE 230.00], VOLT 3004 [WEST 500.00], VOLT 3005 [WEST 230.00], VOLT 3006 [UPTOWN 230.00], VOLT 3007 [RURAL 230.00], VOLT 3008 [CATDOG 230.00], VOLT 3011 [MINE_G 13.800], VOLT 3018 [CATDOG_G 13.800], POWR 101 TO 151 CKT '1 ', VARS 101 TO 151 CKT '1 ', POWR 102 TO 151 CKT '1 ', VARS 102 TO 151 CKT '1 ', POWR 151 TO 152 CKT '1 ', VARS 151 TO 152 CKT '1 ', POWR 151 TO 152 CKT '2 ', VARS 151 TO 152 CKT '2 ', POWR 151 TO 201 CKT '1 ', VARS 151 TO 201 CKT '1 ', POWR 152 TO 153 CKT '1 ', VARS 152 TO 153 CKT '1 ', POWR 152 TO 202 CKT '1 ', VARS 152 TO 202 CKT '1 ', POWR 152 TO 3004 CKT '1 ', VARS 152 TO 3004 CKT '1 ', POWR 153 TO 154 CKT '1 ', VARS 153 TO 154 CKT '1 ', POWR 153 TO 154 CKT '2 ', VARS 153 TO 154 CKT '2 ', POWR 153 TO 3006 CKT '1 ', VARS 153 TO 3006 CKT '1 ', POWR 154 TO 203 CKT '1 ', VARS 154 TO 203 CKT '1 ', POWR 154 TO 205 CKT '1 ', VARS 154 TO 205 CKT '1 ', POWR 154 TO 3008 CKT '1 ', VARS 154 TO 3008 CKT '1 ', POWR 201 TO 202 CKT '1 ', VARS 201 TO 202 CKT '1 ', POWR 201 TO 204 CKT '1 ', VARS 201 TO 204 CKT '1 ', POWR 201 TO 211 CKT '1 ', VARS 201 TO 211 CKT '1 ', POWR 202 TO 203 CKT '1 ', VARS 202 TO 203 CKT '1 ', POWR 203 TO 205 CKT '1 ', VARS 203 TO 205 CKT '1 ', POWR 203 TO 205 CKT '2 ', VARS 203 TO 205 CKT '2 ', POWR 204 TO 205 CKT '1 ', VARS 204 TO 205 CKT '1 ', POWR 205 TO 206 CKT '1 ', VARS 205 TO 206 CKT '1 ', POWR 3001 TO 3002 CKT '1 ', VARS 3001 TO 3002 CKT '1 ', POWR 3001 TO 3003 CKT '1 ', VARS 3001 TO 3003 CKT '1 ', POWR 3001 TO 3011 CKT '1 ', VARS 3001 TO 3011 CKT '1 ', POWR 3002 TO 3004 CKT '1 ', VARS 3002 TO 3004 CKT '1 ', POWR 3003 TO 3005 CKT '1 ', VARS 3003 TO 3005 CKT '1 ', POWR 3003 TO 3005 CKT '2 ', VARS 3003 TO 3005 CKT '2 ', POWR 3004 TO 3005 CKT '1 ', VARS 3004 TO 3005 CKT '1 ', POWR 3005 TO 3006 CKT '1 ', VARS 3005 TO 3006 CKT '1 ', POWR 3005 TO 3007 CKT '1 ', VARS 3005 TO 3007 CKT '1 ', POWR 3005 TO 3008 CKT '1 ', VARS 3005 TO 3008 CKT '1 ', POWR 3007 TO 3008 CKT '1 ', VARS 3007 TO 3008 CKT '1 ', POWR 3008 TO 3018 CKT '1 ', VARS 3008 TO 3018 CKT '1 '
0.0, 0.8668, 0.8668, 0.8827, 0.9256, 0.962, 0.9082, 0.9213, 0.9129, 0.8775, 0.889, 0.9118, 0.9117, 0.8978, 1.0176, 1.0085, 1.0071, 0.9701, 0.9644, 0.9628, 0.9371, 0.9247, 1.0388, 0.9243, 381.5449, -96.8821, 381.5449, -96.8821, 228.4975, -216.2805, 228.4975, -216.2805, 304.8571, -284.8002, 328.1283, 243.6372, 195.6386, 63.8751, -70.6828, -236.6918, 143.1454, 98.8776, 119.2878, 79.3133, -54.7685, -3.5825, -123.3661, 82.3728, -116.9499, -89.2404, -114.4058, -64.6769, 319.2248, -64.2397, 290.3203, -21.3601, -306.6081, 124.3195, 511.9928, 212.2425, 101.7595, -77.8659, 101.7595, -77.8659, 287.0876, 151.2067, -425.8341, 23.1928, 142.4531, 59.9465, 313.5106, 136.9671, -455.9636, -196.9137, 142.3839, 56.4863, 156.7553, 63.962, 156.7553, 63.962, 69.5222, 32.9657, 54.9145, -4.3331, 180.5202, 84.8501, 122.6716, 59.9671, 64.9043, 36.5804, -28.759, 0.8602
0.0042, 0.8668, 0.8668, 0.8827, 0.9256, 0.962, 0.9082, 0.9213, 0.9129, 0.8775, 0.889, 0.9118, 0.9117, 0.8978, 1.0176, 1.0085, 1.0071, 0.9701, 0.9644, 0.9628, 0.9371, 0.9247, 1.0388, 0.9243, 381.5449, -96.8817, 381.5449, -96.8817, 228.4975, -216.2801, 228.4975, -216.2801, 304.8571, -284.7999, 328.1284, 243.6372, 195.6384, 63.8752, -70.6828, -236.6916, 143.1454, 98.8776, 119.2878, 79.3133, -54.7684, -3.5826, -123.366, 82.3728, -116.95, -89.2409, -114.4058, -64.677, 319.2248, -64.2393, 290.3204, -21.3598, -306.6082, 124.3188, 511.9926, 212.2428, 101.7594, -77.8659, 101.7594, -77.8659, 287.0876, 151.2067, -425.8344, 23.1917, 142.4531, 59.9467, 313.5106, 136.9674, -455.9637, -196.914, 142.3839, 56.4864, 156.7553, 63.9621, 156.7553, 63.9621, 69.5222, 32.9657, 54.9144, -4.333, 180.5202, 84.8502, 122.6717, 59.9671, 64.9043, 36.5804, -28.759, 0.8601
0.0083, 0.8668, 0.8668, 0.8827, 0.9256, 0.962, 0.9082, 0.9213, 0.9129, 0.8775, 0.889, 0.9118, 0.9117, 0.8978, 1.0176, 1.0085, 1.0071, 0.9701, 0.9644, 0.9628, 0.9371, 0.9247, 1.0388, 0.9243, 381.5449, -96.8815, 381.5449, -96.8815, 228.4975, -216.2799, 228.4975, -216.2799, 304.8571, -284.7997, 328.1285, 243.6372, 195.6384, 63.8753, -70.6827, -236.6916, 143.1454, 98.8776, 119.2879, 79.3133, -54.7684, -3.5827, -123.366, 82.3728, -116.9499, -89.241, -114.4058, -64.6771, 319.2247, -64.2391, 290.3204, -21.3596, -306.6081, 124.3185, 511.9924, 212.2429, 101.7594, -77.8659, 101.7594, -77.8659, 287.0876, 151.2067, -425.8344, 23.1914, 142.4531, 59.9468, 313.5106, 136.9676, -455.9636, -196.9144, 142.3839, 56.4865, 156.7553, 63.9622, 156.7553, 63.9622, 69.5223, 32.9657, 54.9144, -4.3329, 180.5202, 84.8502, 122.6717, 59.9672, 64.9043, 36.5804, -28.759, 0.86
0.0125, 0.8668, 0.8668, 0.8827, 0.9256, 0.962, 0.9082, 0.9213, 0.9129, 0.8775, 0.889, 0.9118, 0.9117, 0.8978, 1.0176, 1.0085, 1.0071, 0.9701, 0.9644, 0.9628, 0.9371, 0.9247, 1.0388, 0.9243, 381.5448, -96.8815, 381.5448, -96.8815, 228.4974, -216.2798, 228.4974, -216.2798, 304.857, -284.7996, 328.1285, 243.637, 195.6383, 63.8754, -70.6828, -236.6915, 143.1454, 98.8776, 119.2879, 79.3133, -54.7684, -3.5828, -123.3659, 82.3728, -116.95, -89.2411, -114.4058, -64.6772, 319.2247, -64.239, 290.3204, -21.3595, -306.6081, 124.3182, 511.9922, 212.2429, 101.7593, -77.8659, 101.7593, -77.8659, 287.0876, 151.2067, -425.8347, 23.1911, 142.4531, 59.9469, 313.5106, 136.9678, -455.9637, -196.9146, 142.3839, 56.4866, 156.7553, 63.9623, 156.7553, 63.9623, 69.5223, 32.9656, 54.9144, -4.3329, 180.5202, 84.8502, 122.6717, 59.9672, 64.9043, 36.5804, -28.759, 0.8598
0.0167, 0.8668, 0.8668, 0.8827, 0.9256, 0.962, 0.9082, 0.9213, 0.9129, 0.8775, 0.889, 0.9118, 0.9117, 0.8978, 1.0176, 1.0085, 1.0071, 0.9701, 0.9644, 0.9628, 0.9371, 0.9247, 1.0388, 0.9243, 381.5448, -96.8811, 381.5448, -96.8811, 228.4975, -216.2795, 228.4975, -216.2795, 304.8571, -284.7992, 328.1285, 243.6371, 195.6382, 63.8755, -70.6827, -236.6915, 143.1454, 98.8776, 119.2879, 79.3133, -54.7684, -3.5828, -123.3659, 82.3727, -116.9499, -89.241, -114.4059, -64.6773, 319.2246, -64.2387, 290.3204, -21.3593, -306.6081, 124.3179, 511.9921, 212.2431, 101.7593, -77.8658, 101.7593, -77.8658, 287.0876, 151.2068, -425.8346, 23.1911, 142.453, 59.9469, 313.5105, 136.9679, -455.9636, -196.9148, 142.3838, 56.4867, 156.7553, 63.9624, 156.7553, 63.9624, 69.5223, 32.9656, 54.9144, -4.3328, 180.5202, 84.8502, 122.6717, 59.9672, 64.9043, 36.5804, -28.759, 0.8597
0.0208, 0.8668, 0.8668, 0.8827, 0.9256, 0.962, 0.9082, 0.9213, 0.9129, 0.8775, 0.889, 0.9118, 0.9117, 0.8978, 1.0176, 1.0085, 1.0071, 0.9701, 0.9644, 0.9628, 0.9371, 0.9247, 1.0388, 0.9243, 381.5448, -96.881, 381.5448, -96.881, 228.4974, -216.2794, 228.4974, -216.2794, 304.857, -284.7991, 328.1286, 243.637, 195.6381, 63.8755, -70.6827, -236.6915, 143.1455, 98.8776, 119.2879, 79.3133, -54.7684, -3.5829, -123.3658, 82.3727, -116.95, -89.2412, -114.4059, -64.6774, 319.2246, -64.2386, 290.3204, -21.3592, -306.6081, 124.3177, 511.9921, 212.2432, 101.7593, -77.8659, 101.7593, -77.8659, 287.0876, 151.2067, -425.8348, 23.1906, 142.4531, 59.947, 313.5106, 136.968, -455.9637, -196.9151, 142.3839, 56.4868, 156.7553, 63.9624, 156.7553, 63.9624, 69.5223, 32.9656, 54.9144, -4.3327, 180.5203, 84.8502, 122.6717, 59.9672, 64.9043, 36.5804, -28.759, 0.8595
0.025, 0.8668, 0.8668, 0.8827, 0.9256, 0.962, 0.9082, 0.9213, 0.9129, 0.8775, 0.889, 0.9118, 0.9117, 0.8978, 1.0176, 1.0085, 1.0071, 0.9701, 0.9644, 0.9628, 0.9371, 0.9247, 1.0388, 0.9243, 381.5448, -96.8808, 381.5448, -96.8808, 228.4975, -216.2792, 228.4975, -216.2792, 304.8571, -284.7989, 328.1287, 243.637, 195.6381, 63.8755, -70.6827, -236.6913, 143.1455, 98.8776, 119.2879, 79.3133, -54.7684, -3.5829, -123.3658, 82.3727, -116.95, -89.2412, -114.4059, -64.6775, 319.2246, -64.2384, 290.3205, -21.359, -306.6081, 124.3174, 511.992, 212.2433, 101.7592, -77.8658, 101.7592, -77.8658, 287.0877, 151.2068, -425.8348, 23.1907, 142.4531, 59.947, 313.5106, 136.9679, -455.9637, -196.9149, 142.3839, 56.4867, 156.7553, 63.9624, 156.7553, 63.9624, 69.5223, 32.9656, 54.9144, -4.3327, 180.5203, 84.8502, 122.6717, 59.9671, 64.9043, 36.5803, -28.759, 0.8593
0.0292, 0.8668, 0.8668, 0.8827, 0.9256, 0.962, 0.9082, 0.9213, 0.9129, 0.8775, 0.889, 0.9118, 0.9117, 0.8978, 1.0176, 1.0085, 1.0071, 0.9701, 0.9644, 0.9628, 0.9371, 0.9247, 1.0388, 0.9243, 381.5448, -96.8808, 381.5448, -96.8808, 228.4974, -216.2791, 228.4974, -216.2791, 304.8571, -284.7988, 328.1287, 243.6369, 195.638, 63.8756, -70.6827, -236.6913, 143.1455, 98.8776, 119.2879, 79.3133, -54.7684, -3.583, -123.3658, 82.3727, -116.95, -89.2413, -114.4059, -64.6777, 319.2245, -64.2383, 290.3205, -21.359, -306.6081, 124.3172, 511.9919, 212.2433, 101.7592, -77.8658, 101.7592, -77.8658, 287.0877, 151.2067, -425.8348, 23.1904, 142.4531, 59.947, 313.5106, 136.9681, -455.9637, -196.9151, 142.3839, 56.4868, 156.7553, 63.9624, 156.7553, 63.9624, 69.5223, 32.9656, 54.9144, -4.3326, 180.5203, 84.8501, 122.6717, 59.9671, 64.9043, 36.5803, -28.759, 0.8591
0.0333, 0.8668, 0.8668, 0.8827, 0.9256, 0.962, 0.9082, 0.9213, 0.9129, 0.8775, 0.889, 0.9118, 0.9117, 0.8978, 1.0176, 1.0085, 1.0071, 0.9701, 0.9644, 0.9628, 0.9371, 0.9247, 1.0388, 0.9243, 381.5448, -96.8807, 381.5448, -96.8807, 228.4975, -216.279, 228.4975, -216.279, 304.8571, -284.7987, 328.1287, 243.6368, 195.638, 63.8757, -70.6827, -236.6913, 143.1456, 98.8776, 119.288, 79.3133, -54.7684, -3.5831, -123.3657, 82.3727, -116.9499, -89.2413, -114.406, -64.6778, 319.2245, -64.2383, 290.3205, -21.3589, -306.608, 124.317, 511.9918, 212.2434, 101.7592, -77.8658, 101.7592, -77.8658, 287.0877, 151.2067, -425.8347, 23.1902, 142.4531, 59.9471, 313.5106, 136.9682, -455.9637, -196.9153, 142.3839, 56.4868, 156.7553, 63.9625, 156.7553, 63.9625, 69.5223, 32.9655, 54.9144, -4.3325, 180.5203, 84.8501, 122.6717, 59.9671, 64.9044, 36.5803, -28.759, 0.8588
0.0375, 0.8668, 0.8668, 0.8827, 0.9256, 0.962, 0.9082, 0.9213, 0.9129, 0.8775, 0.889, 0.9118, 0.9117, 0.8978, 1.0176, 1.0085, 1.0071, 0.9701, 0.9644, 0.9628, 0.9371, 0.9247, 1.0388, 0.9243, 381.5448, -96.8805, 381.5448, -96.8805, 228.4974, -216.2788, 228.4974, -216.2788, 304.857, -284.7985, 328.1288, 243.6367, 195.6379, 63.8757, -70.6826, -236.6912, 143.1456, 98.8776, 119.288, 79.3133, -54.7684, -3.5831, -123.3657, 82.3727, -116.9499, -89.2412, -114.406, -64.6779, 319.2245, -64.2382, 290.3205, -21.3589, -306.6081, 124.317, 511.9917, 212.2434, 101.7592, -77.8658, 101.7592, -77.8658, 287.0877, 151.2066, -425.8348, 23.1902, 142.4531, 59.9471, 313.5106, 136.9682, -455.9637, -196.9153, 142.3839, 56.4868, 156.7553, 63.9625, 156.7553, 63.9625, 69.5224, 32.9655, 54.9144, -4.3325, 180.5203, 84.8501, 122.6717, 59.967, 64.9044, 36.5802, -28.759, 0.8586
