VARS 3008 TO 3018 CKT '1 ', Time(s), VOLT 101 [NUC-A 21.600], VOLT 102 [NUC-B 21.600], VOLT 151 [NUCPANT 500.00], VOLT 152 [MID500 500.00], VOLT 153 [MID230 230.00], VOLT 154 [DOWNTN 230.00], VOLT 201 [HYDRO 500.00], VOLT 202 [EAST500 500.00], VOLT 203 [EAST230 230.00], VOLT 204 [SUB500 500.00], VOLT 205 [SUB230 230.00], VOLT 206 [URBGEN 18.000], VOLT 211 [HYDRO_G 20.000], VOLT 3001 [MINE 230.00], VOLT 3002 [E. MINE 500.00], VOLT 3003 [S. MINE 230.00], VOLT 3004 [WEST 500.00], VOLT 3005 [WEST 230.00], VOLT 3006 [UPTOWN 230.00], VOLT 3007 [RURAL 230.00], VOLT 3008 [CATDOG 230.00], VOLT 3011 [MINE_G 13.800], VOLT 3018 [CATDOG_G 13.800], POWR 101 TO 151 CKT '1 ', VARS 101 TO 151 CKT '1 ', POWR 102 TO 151 CKT '1 ', VARS 102 TO 151 CKT '1 ', POWR 151 TO 152 CKT '1 ', VARS 151 TO 152 CKT '1 ', POWR 151 TO 152 CKT '2 ', VARS 151 TO 152 CKT '2 ', POWR 151 TO 201 CKT '1 ', VARS 151 TO 201 CKT '1 ', POWR 152 TO 153 CKT '1 ', VARS 152 TO 153 CKT '1 ', POWR 152 TO 202 CKT '1 ', VARS 152 TO 202 CKT '1 ', POWR 152 TO 3004 CKT '1 ', VARS 152 TO 3004 CKT '1 ', POWR 153 TO 154 CKT '1 ', VARS 153 TO 154 CKT '1 ', POWR 153 TO 154 CKT '2 ', VARS 153 TO 154 CKT '2 ', POWR 153 TO 3006 CKT '1 ', VARS 153 TO 3006 CKT '1 ', POWR 154 TO 203 CKT '1 ', VARS 154 TO 203 CKT '1 ', POWR 154 TO 205 CKT '1 ', VARS 154 TO 205 CKT '1 ', POWR 154 TO 3008 CKT '1 ', VARS 154 TO 3008 CKT '1 ', POWR 201 TO 202 CKT '1 ', VARS 201 TO 202 CKT '1 ', POWR 201 TO 204 CKT '1 ', VARS 201 TO 204 CKT '1 ', POWR 201 TO 211 CKT '1 ', VARS 201 TO 211 CKT '1 ', POWR 202 TO 203 CKT '1 ', VARS 202 TO 203 CKT '1 ', POWR 203 TO 205 CKT '1 ', VARS 203 TO 205 CKT '1 ', POWR 203 TO 205 CKT '2 ', VARS 203 TO 205 CKT '2 ', POWR 204 TO 205 CKT '1 ', VARS 204 TO 205 CKT '1 ', POWR 205 TO 206 CKT '1 ', VARS 205 TO 206 CKT '1 ', POWR 3001 TO 3002 CKT '1 ', VARS 3001 TO 3002 CKT '1 ', POWR 3001 TO 3003 CKT '1 ', VARS 3001 TO 3003 CKT '1 ', POWR 3001 TO 3011 CKT '1 ', VARS 3001 TO 3011 CKT '1 ', POWR 3002 TO 3004 CKT '1 ', VARS 3002 TO 3004 CKT '1 ', POWR 3003 TO 3005 CKT '1 ', VARS 3003 TO 3005 CKT '1 ', POWR 3003 TO 3005 CKT '2 ', VARS 3003 TO 3005 CKT '2 ', POWR 3004 TO 3005 CKT '1 ', VARS 3004 TO 3005 CKT '1 ', POWR 3005 TO 3006 CKT '1 ', VARS 3005 TO 3006 CKT '1 ', POWR 3005 TO 3007 CKT '1 ', VARS 3005 TO 3007 CKT '1 ', POWR 3005 TO 3008 CKT '1 ', VARS 3005 TO 3008 CKT '1 ', POWR 3007 TO 3008 CKT '1 ', VARS 3007 TO 3008 CKT '1 ', POWR 3008 TO 3018 CKT '1 '
0.7798, 0.0, 0.9109, 0.9109, 0.9264, 0.9662, 1.0034, 0.949, 0.9667, 0.9559, 0.9215, 0.9311, 0.9538, 0.9533, 0.944, 1.0268, 1.0223, 1.0209, 1.0002, 0.9932, 1.0007, 0.9678, 0.9593, 1.0396, 0.9591, 403.3369, -99.0073, 403.3369, -99.0073, 240.6589, -228.4505, 240.6589, -228.4505, 324.1089, -312.5298, 348.5737, 279.1666, 199.798, 40.903, -70.9349, -218.5733, 157.0049, 103.9446, 130.8374, 83.2643, -52.5696, 25.6662, -131.1237, 78.1994, -147.7474, -127.3342, -115.3844, -42.5984, 334.47, -63.4614, 311.6787, -17.9619, -324.0579, 126.5343, 531.4501, 214.7862, 106.5271, -78.0186, 106.5271, -78.0186, 308.2465, 172.8939, -448.4954, 27.4202, 149.5904, 29.5491, 330.4466, 81.0513, -480.0371, -110.6004, 149.5243, 26.2415, 165.2233, 36.134, 165.2233, 36.134, 76.7556, 41.6022, 52.7363, -34.0877, 197.8737, 78.7733, 130.5536, 49.6793, 62.9475, 22.8517, -28.8152
0.7797, 0.0042, 0.9109, 0.9109, 0.9264, 0.9662, 1.0034, 0.949, 0.9667, 0.9559, 0.9215, 0.9311, 0.9538, 0.9533, 0.944, 1.0268, 1.0223, 1.0209, 1.0002, 0.9932, 1.0007, 0.9678, 0.9593, 1.0396, 0.9591, 403.3369, -99.0069, 403.3369, -99.0069, 240.6589, -228.4501, 240.6589, -228.4501, 324.109, -312.5294, 348.5738, 279.1666, 199.7979, 40.9031, -70.9348, -218.5731, 157.0049, 103.9447, 130.8374, 83.2643, -52.5695, 25.6661, -131.1236, 78.1993, -147.7475, -127.3347, -115.3843, -42.5985, 334.4699, -63.4611, 311.6787, -17.9616, -324.0579, 126.5338, 531.45, 214.7864, 106.527, -78.0186, 106.527, -78.0186, 308.2466, 172.894, -448.4957, 27.4192, 149.5904, 29.5491, 330.4465, 81.0515, -480.0369, -110.6006, 149.5242, 26.2415, 165.2233, 36.1341, 165.2233, 36.1341, 76.7556, 41.6022, 52.7363, -34.0876, 197.8737, 78.7733, 130.5536, 49.6793, 62.9474, 22.8517, -28.8152
0.7796, 0.0083, 0.9109, 0.9109, 0.9264, 0.9662, 1.0034, 0.949, 0.9667, 0.9559, 0.9215, 0.9311, 0.9538, 0.9533, 0.944, 1.0268, 1.0223, 1.0209, 1.0002, 0.9932, 1.0007, 0.9678, 0.9593, 1.0396, 0.9591, 403.3369, -99.0067, 403.3369, -99.0067, 240.6588, -228.45, 240.6588, -228.45, 324.1089, -312.5292, 348.5738, 279.1666, 199.7978, 40.9031, -70.9348, -218.5731, 157.0049, 103.9447, 130.8374, 83.2643, -52.5695, 25.6661, -131.1236, 78.1993, -147.7475, -127.3347, -115.3843, -42.5986, 334.4698, -63.4609, 311.6787, -17.9615, -324.0579, 126.5335, 531.4498, 214.7865, 106.527, -78.0186, 106.527, -78.0186, 308.2465, 172.894, -448.4957, 27.419, 149.5904, 29.5493, 330.4465, 81.0517, -480.0369, -110.6009, 149.5242, 26.2416, 165.2233, 36.1342, 165.2233, 36.1342, 76.7556, 41.6022, 52.7363, -34.0876, 197.8737, 78.7734, 130.5536, 49.6793, 62.9475, 22.8517, -28.8152
0.7795, 0.0125, 0.9109, 0.9109, 0.9264, 0.9662, 1.0034, 0.949, 0.9667, 0.9559, 0.9215, 0.9311, 0.9538, 0.9533, 0.944, 1.0268, 1.0223, 1.0209, 1.0002, 0.9932, 1.0007, 0.9678, 0.9593, 1.0396, 0.9591, 403.337, -99.0066, 403.337, -99.0066, 240.6589, -228.4498, 240.6589, -228.4498, 324.109, -312.529, 348.5739, 279.1665, 199.7977, 40.9032, -70.9348, -218.5731, 157.0049, 103.9447, 130.8374, 83.2643, -52.5695, 25.666, -131.1236, 78.1993, -147.7474, -127.3348, -115.3844, -42.5987, 334.4699, -63.4607, 311.6788, -17.9614, -324.0579, 126.5332, 531.4497, 214.7866, 106.5269, -78.0186, 106.5269, -78.0186, 308.2466, 172.894, -448.4957, 27.4189, 149.5904, 29.5494, 330.4465, 81.0519, -480.0369, -110.6012, 149.5242, 26.2417, 165.2233, 36.1343, 165.2233, 36.1343, 76.7556, 41.6021, 52.7363, -34.0875, 197.8737, 78.7734, 130.5536, 49.6794, 62.9475, 22.8517, -28.8152
0.7793, 0.0167, 0.9109, 0.9109, 0.9264, 0.9662, 1.0034, 0.949, 0.9667, 0.9559, 0.9215, 0.9311, 0.9538, 0.9533, 0.944, 1.0268, 1.0223, 1.0209, 1.0002, 0.9932, 1.0007, 0.9678, 0.9593, 1.0396, 0.9591, 403.337, -99.0063, 403.337, -99.0063, 240.6589, -228.4496, 240.6589, -228.4496, 324.109, -312.5287, 348.5739, 279.1665, 199.7976, 40.9033, -70.9347, -218.573, 157.005, 103.9447, 130.8375, 83.2643, -52.5695, 25.666, -131.1235, 78.1993, -147.7474, -127.3349, -115.3844, -42.5988, 334.4698, -63.4605, 311.6788, -17.9612, -324.0578, 126.533, 531.4496, 214.7867, 106.5269, -78.0186, 106.5269, -78.0186, 308.2466, 172.894, -448.4957, 27.4185, 149.5903, 29.5493, 330.4465, 81.0518, -480.0368, -110.6012, 149.5242, 26.2417, 165.2232, 36.1343, 165.2232, 36.1343, 76.7556, 41.6021, 52.7362, -34.0874, 197.8737, 78.7733, 130.5536, 49.6793, 62.9475, 22.8517, -28.8152
0.7792, 0.0208, 0.9109, 0.9109, 0.9264, 0.9662, 1.0034, 0.949, 0.9667, 0.9559, 0.9215, 0.9311, 0.9538, 0.9533, 0.944, 1.0268, 1.0223, 1.0209, 1.0002, 0.9932, 1.0007, 0.9678, 0.9593, 1.0396, 0.9591, 403.3369, -99.0062, 403.3369, -99.0062, 240.6589, -228.4495, 240.6589, -228.4495, 324.109, -312.5287, 348.5739, 279.1664, 199.7976, 40.9033, -70.9347, -218.573, 157.005, 103.9447, 130.8375, 83.2643, -52.5695, 25.6659, -131.1235, 78.1993, -147.7474, -127.335, -115.3844, -42.5989, 334.4698, -63.4605, 311.6788, -17.9612, -324.0578, 126.5328, 531.4496, 214.7867, 106.5269, -78.0186, 106.5269, -78.0186, 308.2466, 172.894, -448.4958, 27.4183, 149.5904, 29.5494, 330.4465, 81.052, -480.0369, -110.6014, 149.5242, 26.2418, 165.2233, 36.1343, 165.2233, 36.1343, 76.7556, 41.6021, 52.7362, -34.0874, 197.8738, 78.7734, 130.5536, 49.6793, 62.9475, 22.8517, -28.8152
0.779, 0.025, 0.9109, 0.9109, 0.9264, 0.9662, 1.0034, 0.949, 0.9667, 0.9559, 0.9215, 0.9311, 0.9538, 0.9533, 0.944, 1.0268, 1.0223, 1.0209, 1.0002, 0.9932, 1.0007, 0.9678, 0.9593, 1.0396, 0.9591, 403.3369, -99.0061, 403.3369, -99.0061, 240.6589, -228.4494, 240.6589, -228.4494, 324.109, -312.5286, 348.574, 279.1664, 199.7975, 40.9034, -70.9347, -218.573, 157.005, 103.9447, 130.8375, 83.2643, -52.5695, 25.6658, -131.1235, 78.1993, -147.7474, -127.335, -115.3844, -42.599, 334.4698, -63.4604, 311.6788, -17.9611, -324.0579, 126.5327, 531.4495, 214.7868, 106.5269, -78.0186, 106.5269, -78.0186, 308.2466, 172.894, -448.4958, 27.4183, 149.5904, 29.5494, 330.4465, 81.052, -480.0369, -110.6014, 149.5242, 26.2418, 165.2233, 36.1343, 165.2233, 36.1343, 76.7556, 41.6021, 52.7362, -34.0873, 197.8738, 78.7733, 130.5536, 49.6793, 62.9475, 22.8516, -28.8152
0.7788, 0.0292, 0.9109, 0.9109, 0.9263, 0.9662, 1.0034, 0.949, 0.9667, 0.9559, 0.9215, 0.9311, 0.9538, 0.9533, 0.944, 1.0268, 1.0223, 1.0209, 1.0002, 0.9932, 1.0007, 0.9678, 0.9593, 1.0396, 0.9591, 403.337, -99.0061, 403.337, -99.0061, 240.6589, -228.4493, 240.6589, -228.4493, 324.1091, -312.5284, 348.574, 279.1663, 199.7975, 40.9034, -70.9347, -218.5729, 157.005, 103.9446, 130.8375, 83.2643, -52.5695, 25.6658, -131.1234, 78.1993, -147.7474, -127.335, -115.3844, -42.5991, 334.4698, -63.4603, 311.6789, -17.9611, -324.0578, 126.5326, 531.4495, 214.7868, 106.5269, -78.0186, 106.5269, -78.0186, 308.2466, 172.8939, -448.4958, 27.4181, 149.5903, 29.5494, 330.4465, 81.052, -480.0368, -110.6014, 149.5242, 26.2418, 165.2232, 36.1343, 165.2232, 36.1343, 76.7557, 41.6021, 52.7362, -34.0873, 197.8738, 78.7733, 130.5537, 49.6792, 62.9475, 22.8516, -28.8152
0.7786, 0.0333, 0.9109, 0.9109, 0.9263, 0.9662, 1.0034, 0.949, 0.9667, 0.9559, 0.9215, 0.9311, 0.9538, 0.9533, 0.944, 1.0268, 1.0223, 1.0209, 1.0002, 0.9932, 1.0007, 0.9678, 0.9593, 1.0396, 0.9591, 403.3369, -99.006, 403.3369, -99.006, 240.6589, -228.4492, 240.6589, -228.4492, 324.109, -312.5283, 348.574, 279.1662, 199.7975, 40.9035, -70.9347, -218.5729, 157.005, 103.9447, 130.8375, 83.2643, -52.5695, 25.6657, -131.1234, 78.1993, -147.7474, -127.3349, -115.3845, -42.5993, 334.4698, -63.4602, 311.6789, -17.9609, -324.0578, 126.5323, 531.4493, 214.7869, 106.5268, -78.0186, 106.5268, -78.0186, 308.2467, 172.8939, -448.4958, 27.418, 149.5903, 29.5495, 330.4465, 81.0522, -480.0369, -110.6017, 149.5242, 26.2419, 165.2233, 36.1344, 165.2233, 36.1344, 76.7557, 41.602, 52.7362, -34.0872, 197.8738, 78.7733, 130.5537, 49.6792, 62.9475, 22.8516, -28.8152
0.7784, 0.0375, 0.9109, 0.9109, 0.9263, 0.9662, 1.0034, 0.949, 0.9667, 0.9559, 0.9215, 0.9311, 0.9538, 0.9533, 0.944, 1.0268, 1.0223, 1.0209, 1.0002, 0.9932, 1.0007, 0.9678, 0.9593, 1.0396, 0.9591, 403.337, -99.0059, 403.337, -99.0059, 240.6589, -228.4491, 240.6589, -228.4491, 324.109, -312.5283, 348.5741, 279.1661, 199.7974, 40.9035, -70.9347, -218.5729, 157.0051, 103.9446, 130.8375, 83.2643, -52.5695, 25.6657, -131.1234, 78.1993, -147.7474, -127.3351, -115.3845, -42.5994, 334.4698, -63.4601, 311.6789, -17.9609, -324.0579, 126.5321, 531.4493, 214.7868, 106.5268, -78.0186, 106.5268, -78.0186, 308.2467, 172.8938, -448.4959, 27.4177, 149.5904, 29.5495, 330.4465, 81.0521, -480.0369, -110.6017, 149.5242, 26.2419, 165.2233, 36.1344, 165.2233, 36.1344, 76.7557, 41.602, 52.7362, -34.0872, 197.8738, 78.7732, 130.5537, 49.6792, 62.9475, 22.8515, -28.8152
