gcn_depth,conv_channels,kernel_size,dropout,gcn_true,build_adj,propalpha,out_channels,loss_final,r2_eval_final,loss_eval_final,r2_test,loss_test,loss_nodes
3,4,3,0.25,True,True,0.15,4,0.12644968926906586,-17.165163040161133,0.1528257131576538,-28.667079882499493,0.0915619507431984,"[[0.22884787619113922, 0.06959261000156403, 0.047054894268512726, 0.221352681517601, 0.33882686495780945, 0.03058018907904625, 0.04920437932014465, 0.08924147486686707, 0.06271810829639435, 0.038055527955293655, 0.1031111478805542, 0.1879163384437561, 0.05752849578857422, 0.04111957177519798, 0.03627130761742592, 0.03433100879192352, 0.046053074300289154, 0.07136855274438858, 0.03728175163269043, 0.04078315570950508]]"
3,4,3,0.25,True,True,0.15,8,0.041193388402462006,-4.625755310058594,0.04035433754324913,-1.808903404679062,0.02767224609851837,"[[0.013202655129134655, 0.01554956380277872, 0.03150223195552826, 0.034704551100730896, 0.019489217549562454, 0.03005487471818924, 0.018383193761110306, 0.025080516934394836, 0.019748760387301445, 0.021197233349084854, 0.019077656790614128, 0.022572167217731476, 0.04447653517127037, 0.04018567502498627, 0.022073620930314064, 0.02564123459160328, 0.027177829295396805, 0.02321942150592804, 0.06678865849971771, 0.033319320529699326]]"
1,4,3,0.25,True,True,0.15,16,0.03220556676387787,-3.917853355407715,0.031176086515188217,-0.37212928242891574,0.021093221381306648,"[[0.01075640320777893, 0.017333436757326126, 0.01910487376153469, 0.016976632177829742, 0.018728718161582947, 0.019068777561187744, 0.02052992209792137, 0.019608285278081894, 0.024387065321207047, 0.01987742818892002, 0.022385532036423683, 0.022065799683332443, 0.023566624149680138, 0.023589322343468666, 0.02104058861732483, 0.018391195684671402, 0.02679825760424137, 0.023205308243632317, 0.028735902160406113, 0.025714339688420296]]"
2,4,3,0.25,True,True,0.15,4,0.16944706439971924,-23.44275665283203,0.2126348912715912,-48.333738278847584,0.12969258427619934,"[[0.11533419787883759, 0.10998618602752686, 0.11684517562389374, 0.12167207151651382, 0.11069349944591522, 0.1272405982017517, 0.11780054122209549, 0.12352266907691956, 0.11911483854055405, 0.1126246377825737, 0.12741659581661224, 0.1447647362947464, 0.32901352643966675, 0.11253992468118668, 0.1309782713651657, 0.11909196525812149, 0.11139724403619766, 0.11656883358955383, 0.11263705044984818, 0.11460893601179123]]"
3,16,3,0.25,True,True,0.15,8,0.028842782601714134,-3.6746442317962646,0.029669931158423424,-0.4840701399815036,0.021431460976600647,"[[0.008580573834478855, 0.020281916484236717, 0.022828765213489532, 0.016233496367931366, 0.017392266541719437, 0.02297174744307995, 0.02195732481777668, 0.020490504801273346, 0.019842499867081642, 0.01909630373120308, 0.017229199409484863, 0.02214187942445278, 0.03264974057674408, 0.024735823273658752, 0.025740263983607292, 0.01529536210000515, 0.026793451979756355, 0.02421008236706257, 0.02342572622001171, 0.02673228457570076]]"
2,8,3,0.25,True,True,0.15,8,0.04206268489360809,-4.937933444976807,0.04319256916642189,-1.799020162339317,0.02999282442033291,"[[0.05149027705192566, 0.015877176076173782, 0.02220309153199196, 0.016386831179261208, 0.017888352274894714, 0.035866495221853256, 0.03802168741822243, 0.08438753336668015, 0.021375661715865135, 0.022349746897816658, 0.020658519119024277, 0.025144334882497787, 0.024777615442872047, 0.02197689190506935, 0.02293766662478447, 0.020766161382198334, 0.055561017245054245, 0.029263479635119438, 0.023395398631691933, 0.029528465121984482]]"
1,8,3,0.25,True,True,0.15,8,0.03352585434913635,-4.31256628036499,0.03283679857850075,-0.4426180461621023,0.021773681044578552,"[[0.012117646634578705, 0.015503104776144028, 0.01995454542338848, 0.019054394215345383, 0.022403335198760033, 0.014490786008536816, 0.020095743238925934, 0.02228090539574623, 0.018837561830878258, 0.023077813908457756, 0.01721315272152424, 0.022331954911351204, 0.024609414860606194, 0.03543638065457344, 0.01976127177476883, 0.018085338175296783, 0.02568795531988144, 0.024752117693424225, 0.031954891979694366, 0.027825303375720978]]"
1,8,3,0.25,True,True,0.15,16,0.02895587868988514,-3.548116683959961,0.028283270075917244,-0.14452561994347413,0.01960347220301628,"[[0.009625226259231567, 0.015390723012387753, 0.017777705565094948, 0.016343189403414726, 0.017771588638424873, 0.013662372715771198, 0.01801620051264763, 0.020987290889024734, 0.020280852913856506, 0.020015131682157516, 0.017248516902327538, 0.02101333811879158, 0.023830709978938103, 0.023288622498512268, 0.021366503089666367, 0.018385767936706543, 0.02307620644569397, 0.02448929101228714, 0.023289477452635765, 0.026210714131593704]]"
1,4,3,0.25,True,True,0.15,16,0.03220556676387787,-3.917853355407715,0.031176086515188217,-0.37212928242891574,0.021093221381306648,"[[0.01075640320777893, 0.017333436757326126, 0.01910487376153469, 0.016976632177829742, 0.018728718161582947, 0.019068777561187744, 0.02052992209792137, 0.019608285278081894, 0.024387065321207047, 0.01987742818892002, 0.022385532036423683, 0.022065799683332443, 0.023566624149680138, 0.023589322343468666, 0.02104058861732483, 0.018391195684671402, 0.02679825760424137, 0.023205308243632317, 0.028735902160406113, 0.025714339688420296]]"
2,16,3,0.25,True,True,0.15,16,0.027949195355176926,-3.689293622970581,0.027116579934954643,-0.0422485305574804,0.017566492781043053,"[[0.01061359141021967, 0.013762978836894035, 0.016460943967103958, 0.013742550276219845, 0.015148378908634186, 0.011305090971291065, 0.015580961480736732, 0.018607521429657936, 0.016537388786673546, 0.016799455508589745, 0.015795554965734482, 0.02146291732788086, 0.02122339978814125, 0.01979907788336277, 0.018871840089559555, 0.016365034505724907, 0.02240491844713688, 0.02184617705643177, 0.021845700219273567, 0.02315639890730381]]"
3,4,3,0.25,True,True,0.15,8,0.041193388402462006,-4.625755310058594,0.04035433754324913,-1.808903404679062,0.02767224609851837,"[[0.013202655129134655, 0.01554956380277872, 0.03150223195552826, 0.034704551100730896, 0.019489217549562454, 0.03005487471818924, 0.018383193761110306, 0.025080516934394836, 0.019748760387301445, 0.021197233349084854, 0.019077656790614128, 0.022572167217731476, 0.04447653517127037, 0.04018567502498627, 0.022073620930314064, 0.02564123459160328, 0.027177829295396805, 0.02321942150592804, 0.06678865849971771, 0.033319320529699326]]"
1,4,3,0.25,True,True,0.15,4,0.14784418046474457,-20.135665893554688,0.1874518245458603,-38.44575455570788,0.11185360699892044,"[[0.10646530240774155, 0.1090187132358551, 0.1168610230088234, 0.11113505065441132, 0.10904613882303238, 0.10864491015672684, 0.11052116006612778, 0.11730612814426422, 0.11200553923845291, 0.11206074804067612, 0.10926749557256699, 0.1111818477511406, 0.11995711922645569, 0.11203429102897644, 0.10961897671222687, 0.10937025398015976, 0.11143827438354492, 0.1178245097398758, 0.11203797906637192, 0.11127680540084839]]"
1,16,3,0.25,True,True,0.15,8,0.029994983226060867,-3.848764657974243,0.02921174094080925,-0.23490676674224115,0.01988532394170761,"[[0.009583338163793087, 0.014968340285122395, 0.01885943114757538, 0.019679903984069824, 0.016741234809160233, 0.012855453416705132, 0.01953095570206642, 0.02006017602980137, 0.02120284177362919, 0.01921192742884159, 0.016463950276374817, 0.021908311173319817, 0.022603482007980347, 0.022363794967532158, 0.022911371663212776, 0.016040848568081856, 0.025596145540475845, 0.024490447714924812, 0.023276524618268013, 0.02935803309082985]]"
1,8,3,0.25,True,True,0.15,16,0.02895587868988514,-3.548116683959961,0.028283270075917244,-0.14452561994347413,0.01960347220301628,"[[0.009625226259231567, 0.015390723012387753, 0.017777705565094948, 0.016343189403414726, 0.017771588638424873, 0.013662372715771198, 0.01801620051264763, 0.020987290889024734, 0.020280852913856506, 0.020015131682157516, 0.017248516902327538, 0.02101333811879158, 0.023830709978938103, 0.023288622498512268, 0.021366503089666367, 0.018385767936706543, 0.02307620644569397, 0.02448929101228714, 0.023289477452635765, 0.026210714131593704]]"
3,4,3,0.25,True,True,0.15,4,0.1675509512424469,-23.577024459838867,0.21165750920772552,-49.63485817873419,0.1276254504919052,"[[0.17279943823814392, 0.10889368504285812, 0.11788100004196167, 0.11727610975503922, 0.2720925807952881, 0.10808441787958145, 0.11373510211706161, 0.11658327281475067, 0.11251711845397949, 0.11280911415815353, 0.10963527858257294, 0.11113720387220383, 0.1181657612323761, 0.15471269190311432, 0.10962535440921783, 0.11082317680120468, 0.1180385947227478, 0.14368577301502228, 0.11213406175374985, 0.11187942326068878]]"
1,16,3,0.25,True,True,0.15,8,0.029994983226060867,-3.848764657974243,0.02921174094080925,-0.23490676674224115,0.01988532394170761,"[[0.009583338163793087, 0.014968340285122395, 0.01885943114757538, 0.019679903984069824, 0.016741234809160233, 0.012855453416705132, 0.01953095570206642, 0.02006017602980137, 0.02120284177362919, 0.01921192742884159, 0.016463950276374817, 0.021908311173319817, 0.022603482007980347, 0.022363794967532158, 0.022911371663212776, 0.016040848568081856, 0.025596145540475845, 0.024490447714924812, 0.023276524618268013, 0.02935803309082985]]"
3,4,3,0.25,True,True,0.15,16,0.147806778550148,-20.109994888305664,0.18730062246322632,-38.35672688770183,0.11183405667543411,"[[0.10658377408981323, 0.10900574177503586, 0.1168871745467186, 0.111124686896801, 0.10906130820512772, 0.10847725719213486, 0.11053680628538132, 0.11728990077972412, 0.11200691014528275, 0.1120700091123581, 0.10925966501235962, 0.11114026606082916, 0.11983019858598709, 0.11205482482910156, 0.10959266126155853, 0.10940238833427429, 0.11147241294384003, 0.11789589375257492, 0.11173909157514572, 0.11125024408102036]]"
3,16,3,0.25,True,True,0.15,8,0.028842782601714134,-3.6746442317962646,0.029669931158423424,-0.4840701399815036,0.021431460976600647,"[[0.008580573834478855, 0.020281916484236717, 0.022828765213489532, 0.016233496367931366, 0.017392266541719437, 0.02297174744307995, 0.02195732481777668, 0.020490504801273346, 0.019842499867081642, 0.01909630373120308, 0.017229199409484863, 0.02214187942445278, 0.03264974057674408, 0.024735823273658752, 0.025740263983607292, 0.01529536210000515, 0.026793451979756355, 0.02421008236706257, 0.02342572622001171, 0.02673228457570076]]"
3,16,3,0.25,True,True,0.15,8,0.028842782601714134,-3.6746442317962646,0.029669931158423424,-0.4840701399815036,0.021431460976600647,"[[0.008580573834478855, 0.020281916484236717, 0.022828765213489532, 0.016233496367931366, 0.017392266541719437, 0.02297174744307995, 0.02195732481777668, 0.020490504801273346, 0.019842499867081642, 0.01909630373120308, 0.017229199409484863, 0.02214187942445278, 0.03264974057674408, 0.024735823273658752, 0.025740263983607292, 0.01529536210000515, 0.026793451979756355, 0.02421008236706257, 0.02342572622001171, 0.02673228457570076]]"
1,8,3,0.25,True,True,0.15,16,0.02895587868988514,-3.548116683959961,0.028283270075917244,-0.14452561994347413,0.01960347220301628,"[[0.009625226259231567, 0.015390723012387753, 0.017777705565094948, 0.016343189403414726, 0.017771588638424873, 0.013662372715771198, 0.01801620051264763, 0.020987290889024734, 0.020280852913856506, 0.020015131682157516, 0.017248516902327538, 0.02101333811879158, 0.023830709978938103, 0.023288622498512268, 0.021366503089666367, 0.018385767936706543, 0.02307620644569397, 0.02448929101228714, 0.023289477452635765, 0.026210714131593704]]"
1,16,3,0.25,True,True,0.15,16,0.02834721840918064,-3.764072895050049,0.030608713626861572,-1.0549363250182393,0.02148621156811714,"[[0.011475966311991215, 0.020785469561815262, 0.01803550310432911, 0.019689058884978294, 0.020705116912722588, 0.014271112158894539, 0.022467581555247307, 0.021066023036837578, 0.019969165325164795, 0.023165352642536163, 0.018453460186719894, 0.026327308267354965, 0.02328554168343544, 0.024257799610495567, 0.023452183231711388, 0.01889391429722309, 0.027492377907037735, 0.024176448583602905, 0.024637816473841667, 0.02711702138185501]]"
3,16,3,0.25,True,True,0.15,4,0.04051689803600311,-4.5430521965026855,0.04124916344881058,-2.454490675398765,0.028703661635518074,"[[0.017314834520220757, 0.017021359875798225, 0.02640366181731224, 0.020444121211767197, 0.022841064259409904, 0.0339786671102047, 0.02112027071416378, 0.0335589163005352, 0.020492659881711006, 0.021727072075009346, 0.049467217177152634, 0.03125643730163574, 0.022989194840192795, 0.0335891954600811, 0.022533755749464035, 0.04307997226715088, 0.02364896610379219, 0.03127053752541542, 0.02324608899652958, 0.058089252561330795]]"
3,4,3,0.25,True,True,0.15,16,0.147806778550148,-20.109994888305664,0.18730062246322632,-38.35672688770183,0.11183405667543411,"[[0.10658377408981323, 0.10900574177503586, 0.1168871745467186, 0.111124686896801, 0.10906130820512772, 0.10847725719213486, 0.11053680628538132, 0.11728990077972412, 0.11200691014528275, 0.1120700091123581, 0.10925966501235962, 0.11114026606082916, 0.11983019858598709, 0.11205482482910156, 0.10959266126155853, 0.10940238833427429, 0.11147241294384003, 0.11789589375257492, 0.11173909157514572, 0.11125024408102036]]"
2,8,3,0.25,True,True,0.15,16,0.03337935730814934,-3.722141981124878,0.03527617081999779,-0.8276727665762393,0.02417088858783245,"[[0.014262469485402107, 0.020603522658348083, 0.025897707790136337, 0.022975381463766098, 0.02042223885655403, 0.01804378256201744, 0.020759152248501778, 0.0254078172147274, 0.02259194850921631, 0.02487015351653099, 0.021289037540555, 0.023281671106815338, 0.03190970420837402, 0.027730779722332954, 0.027327505871653557, 0.021040646359324455, 0.02774774469435215, 0.029443811625242233, 0.02695028856396675, 0.03086235374212265]]"
3,16,3,0.25,True,True,0.15,4,0.04051689803600311,-4.5430521965026855,0.04124916344881058,-2.454490675398765,0.028703661635518074,"[[0.017314834520220757, 0.017021359875798225, 0.02640366181731224, 0.020444121211767197, 0.022841064259409904, 0.0339786671102047, 0.02112027071416378, 0.0335589163005352, 0.020492659881711006, 0.021727072075009346, 0.049467217177152634, 0.03125643730163574, 0.022989194840192795, 0.0335891954600811, 0.022533755749464035, 0.04307997226715088, 0.02364896610379219, 0.03127053752541542, 0.02324608899652958, 0.058089252561330795]]"
3,4,3,0.25,True,True,0.15,8,0.041193388402462006,-4.625755310058594,0.04035433754324913,-1.808903404679062,0.02767224609851837,"[[0.013202655129134655, 0.01554956380277872, 0.03150223195552826, 0.034704551100730896, 0.019489217549562454, 0.03005487471818924, 0.018383193761110306, 0.025080516934394836, 0.019748760387301445, 0.021197233349084854, 0.019077656790614128, 0.022572167217731476, 0.04447653517127037, 0.04018567502498627, 0.022073620930314064, 0.02564123459160328, 0.027177829295396805, 0.02321942150592804, 0.06678865849971771, 0.033319320529699326]]"
1,8,3,0.25,True,True,0.15,16,0.02895587868988514,-3.548116683959961,0.028283270075917244,-0.14452561994347413,0.01960347220301628,"[[0.009625226259231567, 0.015390723012387753, 0.017777705565094948, 0.016343189403414726, 0.017771588638424873, 0.013662372715771198, 0.01801620051264763, 0.020987290889024734, 0.020280852913856506, 0.020015131682157516, 0.017248516902327538, 0.02101333811879158, 0.023830709978938103, 0.023288622498512268, 0.021366503089666367, 0.018385767936706543, 0.02307620644569397, 0.02448929101228714, 0.023289477452635765, 0.026210714131593704]]"
1,8,3,0.25,True,True,0.15,4,0.04866040125489235,-5.259693622589111,0.052483875304460526,-3.7977831499818624,0.037938255816698074,"[[0.011310283094644547, 0.02363470382988453, 0.05754337087273598, 0.019218984991312027, 0.03563186898827553, 0.017262788489460945, 0.020658180117607117, 0.0986252874135971, 0.04928087815642357, 0.061036355793476105, 0.03840510919690132, 0.04319631680846214, 0.05812251940369606, 0.025751300156116486, 0.02346716821193695, 0.04249831661581993, 0.03319675475358963, 0.025928594172000885, 0.027647702023386955, 0.04634864628314972]]"
3,4,3,0.25,True,True,0.15,4,0.1675509512424469,-23.577024459838867,0.21165750920772552,-49.63485817873419,0.1276254504919052,"[[0.17279943823814392, 0.10889368504285812, 0.11788100004196167, 0.11727610975503922, 0.2720925807952881, 0.10808441787958145, 0.11373510211706161, 0.11658327281475067, 0.11251711845397949, 0.11280911415815353, 0.10963527858257294, 0.11113720387220383, 0.1181657612323761, 0.15471269190311432, 0.10962535440921783, 0.11082317680120468, 0.1180385947227478, 0.14368577301502228, 0.11213406175374985, 0.11187942326068878]]"
1,4,3,0.25,True,True,0.15,4,0.14784418046474457,-20.135665893554688,0.1874518245458603,-38.44575455570788,0.11185360699892044,"[[0.10646530240774155, 0.1090187132358551, 0.1168610230088234, 0.11113505065441132, 0.10904613882303238, 0.10864491015672684, 0.11052116006612778, 0.11730612814426422, 0.11200553923845291, 0.11206074804067612, 0.10926749557256699, 0.1111818477511406, 0.11995711922645569, 0.11203429102897644, 0.10961897671222687, 0.10937025398015976, 0.11143827438354492, 0.1178245097398758, 0.11203797906637192, 0.11127680540084839]]"
2,16,3,0.25,True,True,0.15,8,0.030277548357844353,-3.7453453540802,0.029463376849889755,-0.31206601212804225,0.02079673856496811,"[[0.009439397603273392, 0.015617665834724903, 0.019613374024629593, 0.02118675969541073, 0.01702275685966015, 0.020523084327578545, 0.016607096418738365, 0.02462189644575119, 0.022398004308342934, 0.021641450002789497, 0.015785641968250275, 0.02323700487613678, 0.021636750549077988, 0.02256280742585659, 0.02284621074795723, 0.020628957077860832, 0.029161712154746056, 0.022419724613428116, 0.02352912351489067, 0.025455420836806297]]"
1,4,3,0.25,True,True,0.15,8,0.03208351135253906,-3.9363527297973633,0.030945731326937675,-0.27994904246294144,0.02030363865196705,"[[0.010641773231327534, 0.015358714386820793, 0.018952883780002594, 0.022002313286066055, 0.015402951277792454, 0.011733561754226685, 0.01584458351135254, 0.022059109061956406, 0.01984305866062641, 0.018676603212952614, 0.01573602855205536, 0.02302725799381733, 0.03147648647427559, 0.02826499566435814, 0.019888879731297493, 0.016946876421570778, 0.024437211453914642, 0.023501131683588028, 0.024166306480765343, 0.028111999854445457]]"
2,4,3,0.25,True,True,0.15,8,0.037513233721256256,-4.6665520668029785,0.037558041512966156,-0.9604990993381751,0.025539809837937355,"[[0.012147740460932255, 0.020867373794317245, 0.02301986888051033, 0.023715436458587646, 0.025925952941179276, 0.018345696851611137, 0.021468793973326683, 0.03493143618106842, 0.021335752680897713, 0.02169005200266838, 0.027486927807331085, 0.029675425961613655, 0.03318306431174278, 0.026573698967695236, 0.02275596372783184, 0.02203938737511635, 0.026707060635089874, 0.03412370756268501, 0.025139804929494858, 0.03966313228011131]]"
2,8,3,0.25,True,True,0.15,16,0.03337935730814934,-3.722141981124878,0.03527617081999779,-0.8276727665762393,0.02417088858783245,"[[0.014262469485402107, 0.020603522658348083, 0.025897707790136337, 0.022975381463766098, 0.02042223885655403, 0.01804378256201744, 0.020759152248501778, 0.0254078172147274, 0.02259194850921631, 0.02487015351653099, 0.021289037540555, 0.023281671106815338, 0.03190970420837402, 0.027730779722332954, 0.027327505871653557, 0.021040646359324455, 0.02774774469435215, 0.029443811625242233, 0.02695028856396675, 0.03086235374212265]]"
2,4,3,0.25,True,True,0.15,4,0.16944706439971924,-23.44275665283203,0.2126348912715912,-48.333738278847584,0.12969258427619934,"[[0.11533419787883759, 0.10998618602752686, 0.11684517562389374, 0.12167207151651382, 0.11069349944591522, 0.1272405982017517, 0.11780054122209549, 0.12352266907691956, 0.11911483854055405, 0.1126246377825737, 0.12741659581661224, 0.1447647362947464, 0.32901352643966675, 0.11253992468118668, 0.1309782713651657, 0.11909196525812149, 0.11139724403619766, 0.11656883358955383, 0.11263705044984818, 0.11460893601179123]]"
2,4,3,0.25,True,True,0.15,8,0.037513233721256256,-4.6665520668029785,0.037558041512966156,-0.9604990993381751,0.025539809837937355,"[[0.012147740460932255, 0.020867373794317245, 0.02301986888051033, 0.023715436458587646, 0.025925952941179276, 0.018345696851611137, 0.021468793973326683, 0.03493143618106842, 0.021335752680897713, 0.02169005200266838, 0.027486927807331085, 0.029675425961613655, 0.03318306431174278, 0.026573698967695236, 0.02275596372783184, 0.02203938737511635, 0.026707060635089874, 0.03412370756268501, 0.025139804929494858, 0.03966313228011131]]"
2,4,3,0.25,True,True,0.15,16,0.14779919385910034,-20.117794036865234,0.18731984496116638,-38.383163411914865,0.1118236631155014,"[[0.1065354123711586, 0.10898672044277191, 0.11687415838241577, 0.11112451553344727, 0.1090473085641861, 0.10844208300113678, 0.11052823066711426, 0.117258220911026, 0.11200245469808578, 0.11205542087554932, 0.10925173759460449, 0.11114451289176941, 0.11972324550151825, 0.11206243932247162, 0.10960259288549423, 0.10942181944847107, 0.11150512099266052, 0.11786854267120361, 0.1117488443851471, 0.11128991842269897]]"
2,8,3,0.25,True,True,0.15,8,0.04206268489360809,-4.937933444976807,0.04319256916642189,-1.799020162339317,0.02999282442033291,"[[0.05149027705192566, 0.015877176076173782, 0.02220309153199196, 0.016386831179261208, 0.017888352274894714, 0.035866495221853256, 0.03802168741822243, 0.08438753336668015, 0.021375661715865135, 0.022349746897816658, 0.020658519119024277, 0.025144334882497787, 0.024777615442872047, 0.02197689190506935, 0.02293766662478447, 0.020766161382198334, 0.055561017245054245, 0.029263479635119438, 0.023395398631691933, 0.029528465121984482]]"
