Modelo,Params,Fichero_resultados_experimento,Loss_tst,R2_tst,Loss_nodes,R2_eval,Loss_eval,Loss_final
LSTM,,,0.0232158862054348,0.6080454750965337,"[0.01155095 0.00907443 0.01350776 0.02466182 0.02700675 0.03020457
 0.01624865 0.02449482 0.03065765 0.02415094 0.03008681 0.01983916
 0.01007804 0.02408637 0.0262256  0.02596145 0.02776702 0.02860454
 0.02591929 0.0296581  0.02919166 0.01856459 0.02642438]",0.5847846865653992,0.0296133365482091,0.0204349197447299
LSTM_NOBATCH,,,0.0216284189373254,-1.5284872916147636,"[0.01080354 0.00768281 0.0111787  0.02304618 0.02570939 0.02880381
 0.01488202 0.02203869 0.02858107 0.02197565 0.02754621 0.01711734
 0.00769552 0.02216605 0.02372437 0.0238759  0.02664356 0.02833627
 0.02529658 0.0297842  0.02815314 0.01820924 0.02420343]",-2.690715789794922,0.0282978788018226,0.0205903630703687
DyGrEncoder,"{'aggr': 'add', 'conv': 1, 'lstm': 1}",./results/branch_fault/ajustes/DryGrEncoder_results.csv,0.0205803960561752,-1.6699382640255631,"[[0.00480468 0.008134   0.01544428 0.01376935 0.01243533 0.01328736
  0.01638922 0.02298561 0.02314351 0.02002048 0.01968655 0.02183966
  0.02920331 0.02816209 0.02495794 0.02329511 0.02631178 0.03139023
  0.03008929 0.02625821]]",-2.772604465484619,0.0266315434128046,0.0180944241583347
MPNN_LSTM,"{'hidden_size': 64, 'dropout': 0.2}",./results/branch_fault/ajustes/MPNNLSTM_results.csv,0.0215918496251106,-1.5651352402222445,"[[0.00460636 0.00838542 0.00961502 0.01134735 0.01345024 0.01416502
  0.01756968 0.01885199 0.02388034 0.02232543 0.02287341 0.02449194
  0.02825101 0.02882287 0.02992745 0.02765381 0.030463   0.03108834
  0.0338681  0.03020019]]",-2.8992807865142822,0.0282033123075962,0.0202192682772874
MSTGCN,"{'nb_block': 2, 'nb_chev_filter': 8, 'nb_time_filter': 8, 'time_strides': 2, 'hidden': 80}",./results/branch_fault/ajustes/MSTGCN_results.csv,0.0234729312360286,-1.9987574965534267,"[0.00767608 0.0077272  0.01281423 0.02381557 0.0276086  0.03066627
 0.01717561 0.02432355 0.03054542 0.02401666 0.02987548 0.0191824
 0.00835333 0.02512272 0.02640929 0.02673804 0.02920341 0.03264947
 0.0284246  0.03257706 0.0311411  0.01903555 0.02479563]",-3.38461709022522,0.0305097922682762,0.0223483685404062
EvolveGCN,,,0.1115667298436164,-13.382249823379697,"[0.09841555 0.09841555 0.21555527 0.11836041 0.13129874 0.11048613
 0.09892581 0.10456123 0.13547496 0.10600279 0.10132013 0.07161314
 0.11983149 0.07487927 0.10448765 0.12055117 0.12179578 0.13752808
 0.12891    0.13756604 0.11219724 0.04965085 0.06820749]",-19.84953117370605,0.1936863660812378,0.1295288354158401
ASTGCN,,,0.0232897214591503,-1.5870912430203594,"[0.00811413 0.00816698 0.01252194 0.02356016 0.02735564 0.03087122
 0.01706786 0.02490983 0.03121245 0.02439579 0.0300479  0.01853556
 0.00850896 0.02436344 0.02600827 0.02609278 0.02866774 0.03092106
 0.02808488 0.03220773 0.03025428 0.01902575 0.02476922]",-3.066532850265503,0.0313888154923915,0.0231802985072135
AGCRN,"{'hidden': 10, 'K': 10, 'embedding': 3}",./results/branch_fault/ajustes/AGCRN_results.csv,0.0381396263837814,0.2538403722180656,"[0.02096157 0.02084447 0.02115753 0.0417789  0.03991288 0.04462967
 0.03857405 0.03217111 0.05422819 0.03927057 0.03812149 0.02831896
 0.02684912 0.03597622 0.0477473  0.04147725 0.0444852  0.05604716
 0.03850605 0.04851626 0.04542789 0.03254888 0.03966069]",0.0778879076242446,0.0491636544466018,0.0319523811340332
DCRNN,{'hidden': 60},./results/branch_fault/ajustes/DCRNN_results.csv,0.0207400359213352,-1.7439570916440057,"[0.00727675 0.00727675 0.01063774 0.02098083 0.02421462 0.02867033
 0.0152623  0.02180763 0.02830558 0.02232693 0.02843057 0.01745302
 0.00808009 0.02093627 0.02230139 0.02248499 0.02492102 0.02662345
 0.02460204 0.02803987 0.02707315 0.01673392 0.02258159]",-2.8388917446136475,0.0258991606533527,0.0195689145475626
MTGNN,"{'gcn_depth': 3, 'conv_channels': 4, 'kernel_size': 3, 'dropout': 0.25, 'gcn_true': True, 'build_adj': True, 'propalpha': 0.15, 'out_channels': 4}",../results/branch_fault/ajustes/MTGNN_results.csv,0.0915619507431984,-28.667079882499493,"[[0.22884788 0.06959261 0.04705489 0.22135268 0.33882686 0.03058019
  0.04920438 0.08924147 0.06271811 0.03805553 0.10311115 0.18791634
  0.0575285  0.04111957 0.03627131 0.03433101 0.04605307 0.07136855
  0.03728175 0.04078316]]",-17.165163040161133,0.1528257131576538,0.1264496892690658
MTGNN,"{'gcn_depth': 3, 'conv_channels': 4, 'kernel_size': 3, 'dropout': 0.25, 'gcn_true': True, 'build_adj': True, 'propalpha': 0.15, 'out_channels': 8}",../results/branch_fault/ajustes/MTGNN_results.csv,0.0276722460985183,-1.808903404679062,"[[0.01320266 0.01554956 0.03150223 0.03470455 0.01948922 0.03005487
  0.01838319 0.02508052 0.01974876 0.02119723 0.01907766 0.02257217
  0.04447654 0.04018568 0.02207362 0.02564123 0.02717783 0.02321942
  0.06678866 0.03331932]]",-4.625755310058594,0.0403543375432491,0.041193388402462
MTGNN,"{'gcn_depth': 1, 'conv_channels': 4, 'kernel_size': 3, 'dropout': 0.25, 'gcn_true': True, 'build_adj': True, 'propalpha': 0.15, 'out_channels': 16}",../results/branch_fault/ajustes/MTGNN_results.csv,0.0210932213813066,-0.3721292824289157,"[[0.0107564  0.01733344 0.01910487 0.01697663 0.01872872 0.01906878
  0.02052992 0.01960829 0.02438707 0.01987743 0.02238553 0.0220658
  0.02356662 0.02358932 0.02104059 0.0183912  0.02679826 0.02320531
  0.0287359  0.02571434]]",-3.917853355407715,0.0311760865151882,0.0322055667638778
MTGNN,"{'gcn_depth': 1, 'conv_channels': 8, 'kernel_size': 3, 'dropout': 0.25, 'gcn_true': True, 'build_adj': True, 'propalpha': 0.15, 'out_channels': 16}",../results/branch_fault/ajustes/MTGNN_results.csv,0.0196034722030162,-0.1445256199434741,"[[0.00962523 0.01539072 0.01777771 0.01634319 0.01777159 0.01366237
  0.0180162  0.02098729 0.02028085 0.02001513 0.01724852 0.02101334
  0.02383071 0.02328862 0.0213665  0.01838577 0.02307621 0.02448929
  0.02328948 0.02621071]]",-3.548116683959961,0.0282832700759172,0.0289558786898851
MTGNN,"{'gcn_depth': 2, 'conv_channels': 16, 'kernel_size': 3, 'dropout': 0.25, 'gcn_true': True, 'build_adj': True, 'propalpha': 0.15, 'out_channels': 16}",../results/branch_fault/ajustes/MTGNN_results.csv,0.017566492781043,-0.0422485305574804,"[[0.01061359 0.01376298 0.01646094 0.01374255 0.01514838 0.01130509
  0.01558096 0.01860752 0.01653739 0.01679946 0.01579555 0.02146292
  0.0212234  0.01979908 0.01887184 0.01636503 0.02240492 0.02184618
  0.0218457  0.0231564 ]]",-3.689293622970581,0.0271165799349546,0.0279491953551769
MTGNN,"{'gcn_depth': 2, 'conv_channels': 16, 'kernel_size': 3, 'dropout': 0.25, 'gcn_true': True, 'build_adj': True, 'propalpha': 0.15, 'out_channels': 16}",../results/branch_fault/ajustes/MTGNN_results.csv,0.017566492781043053,-0.0422485305574804,"[[0.01061359 0.01376298 0.01646094 0.01374255 0.01514838 0.01130509
  0.01558096 0.01860752 0.01653739 0.01679946 0.01579555 0.02146292
  0.0212234  0.01979908 0.01887184 0.01636503 0.02240492 0.02184618
  0.0218457  0.0231564 ]]",-3.689293622970581,0.027116579934954643,0.027949195355176926
