Modelo,Params,Fichero_resultados_experimento,Loss_tst,R2_tst,Loss_nodes,R2_eval,Loss_eval,Loss_final,loss_final,r2_eval_final,loss_eval_final
LSTM,,,0.0172980930656194,0.6037163310745508,"[0.0107881  0.01006583 0.01300934 0.01969145 0.02225712 0.02407544
 0.01556233 0.02015712 0.02518038 0.0203719  0.02314059 0.01341688
 0.00739392 0.01193964 0.01307484 0.01460227 0.01956771 0.02106537
 0.02210989 0.02217047 0.02278903 0.00903477 0.01639171]",0.5413459539413452,0.0246636159718036,0.018977653235197,,,
LSTM_NOBATCH,,,0.0174589212983846,-1.1221123549657763,"[0.01527361 0.01028231 0.01348895 0.01959247 0.02210218 0.02342959
 0.01492726 0.01987102 0.02416081 0.01901856 0.02225309 0.01275471
 0.00851967 0.0134995  0.01405308 0.01555647 0.01964548 0.02054593
 0.02198672 0.02144486 0.02155974 0.01090016 0.01668906]",-2.717828750610352,0.0259201619774103,0.0186120066791772,,,
MPNN_LSTM,"{'hidden_size': 64, 'dropout': 0.2}",./results/bus_fault/ajustes/MPNNLSTM_results.csv,0.0167456232011318,-0.6824212038350321,"[[0.00348817 0.00553344 0.0063492  0.00758215 0.00847837 0.0093421
  0.01364689 0.01342639 0.01612459 0.01726774 0.01778764 0.02139854
  0.0232619  0.02320102 0.02497697 0.02227101 0.02396295 0.02588899
  0.02559612 0.02532825]]",0.0,0.0,0.0,0.0171113703399896,-1.9816094636917112,0.0250716917216777
DyGrEncoder,"{'aggr': 'mean', 'conv': 1, 'lstm': 1}",./results/bus_fault/ajustes/DryGrEncoder_results.csv,0.0164101962000131,-0.6647721516903595,"[[0.00452176 0.00636228 0.00699879 0.0085887  0.00955339 0.00977768
  0.01378877 0.01377777 0.0156739  0.01720785 0.01781052 0.02062751
  0.02216688 0.02346279 0.02317342 0.02163725 0.02195112 0.02471261
  0.02309643 0.02331455]]",-1.7005923986434937,0.0242138672620058,0.0150783294811844,,,
MSTGCN,"{'nb_block': 2, 'nb_chev_filter': 8, 'nb_time_filter': 8, 'time_strides': 2, 'hidden': 50}",./results/bus_fault/ajustes/MSTGCN_results.csv,0.0184427257627248,-0.9033118733587436,"[0.01271164 0.01194169 0.01417474 0.0206111  0.02274162 0.02486217
 0.01701844 0.02155102 0.02530228 0.01935146 0.02257049 0.01642459
 0.00868022 0.01314433 0.01368421 0.01550902 0.02068699 0.02541781
 0.02368255 0.02249283 0.02398901 0.0103127  0.01732178]",-2.1713383197784424,0.0274091158062219,0.0178968589752912,,,
EvolveGCN,,,0.1191266700625419,-22.32053378646547,"[0.10783052 0.08992592 0.07309368 0.1309617  0.14930408 0.14603177
 0.10926818 0.13131721 0.18043748 0.11928436 0.13853079 0.10202999
 0.11279473 0.13086669 0.07452755 0.06279925 0.14780991 0.15376206
 0.15708074 0.14600313 0.13740218 0.05050699 0.08834454]",-33.361331939697266,0.1560083180665969,0.148708313703537,,,
ASTGCN,"{'nb_block': 1, 'nb_chev_filter': 4, 'nb_time_filter': 4, 'time_strides': 2, 'hidden': 50}",,0.01726677082479,-0.6573515348195498,"[0.01166018 0.00987602 0.01288769 0.02133695 0.02234019 0.02456371
 0.01449071 0.02014396 0.02553277 0.01953288 0.02313279 0.0123804
 0.00685328 0.01176489 0.01244538 0.01419579 0.02092564 0.02070151
 0.02205656 0.02190771 0.02234751 0.00906248 0.01699671]",-2.153488874435425,0.0273496061563491,0.0197756960988044,,,
AGCRN,"{'hidden': 15, 'K': 10, 'embedding': 3}",./results/bus_fault/ajustes/AGCRN_results.csv,0.0315634682774543,-0.4410716652166938,"[0.0217929  0.02012599 0.0333222  0.0320435  0.03140772 0.0339315
 0.03114715 0.02354878 0.0408981  0.03138109 0.02893978 0.03444204
 0.03159821 0.02285069 0.03849824 0.03347817 0.03848943 0.03660619
 0.03795996 0.03361095 0.03667973 0.02278106 0.03042633]",0.0644776672124862,0.0401087366044521,0.0289867203682661,,,
DCRNN,{'hidden': 40},./results/bus_fault/ajustes/DCRNN_results.csv,0.016691483557224274,-0.8422175517564876,"[0.01195712 0.01082636 0.01312738 0.01858407 0.02097741 0.02298567
 0.01509817 0.01907666 0.02328411 0.01859375 0.021942   0.01281628
 0.00927474 0.01245744 0.01298357 0.01421501 0.01839854 0.0192174
 0.02033224 0.02021511 0.02071698 0.01051063 0.01631351]",-2.3064939975738525,0.023515308275818825,0.018196377903223038,,,
MTGNN,"{'gcn_depth': 1, 'conv_channels': 16, 'kernel_size': 3, 'dropout': 0.25, 'gcn_true': True, 'build_adj': True, 'propalpha': 0.15, 'out_channels': 16}",../results/bus_fault/ajustes/MTGNN_results.csv,0.020392872393131256,-2.5251347797409633,"[[0.00918213 0.01241107 0.01397312 0.014801   0.01888687 0.01594109
  0.01729859 0.01839219 0.02028556 0.02170219 0.02018532 0.01977924
  0.02414557 0.021424   0.02244258 0.02456161 0.02825711 0.02697338
  0.02818685 0.02902799]]",-2.6748790740966797,0.023648934438824654,0.02237934060394764,,,
