Modelo,Params,Fichero_resultados_experimento,Loss_tst,R2_tst,Loss_nodes,R2_eval,Loss_eval,Loss_final,loss_final,r2_eval_final,loss_eval_final
LSTM,,,0.0054739140905439,0.9231497947484304,"[0.00273813 0.00319852 0.00392416 0.00609108 0.00726956 0.00806313
 0.0047748  0.00706314 0.00790575 0.00612286 0.00776191 0.00468175
 0.00280321 0.00334732 0.00369768 0.00411383 0.00826692 0.00585358
 0.0066638  0.00605501 0.00701644 0.00263206 0.00585541]",0.9123196005821228,0.0054476098157465,0.005502042826265,,,
LSTM_NOBATCH,,,0.00560556165874,0.865486784076619,"[0.00647055 0.0064651  0.00489909 0.00683031 0.00723814 0.00813493
 0.00420431 0.00724875 0.00780224 0.00550513 0.0071134  0.00382765
 0.00230528 0.00258799 0.00344664 0.00352921 0.0084563  0.00549239
 0.00625996 0.0059937  0.00688799 0.00214416 0.00608471]",0.8712893724441528,0.0055494462139904,0.0054891319014132,,,
MPNN_LSTM,"(32, 0.8)",./results/bus_trip/ajustes/MPNNLSTM_results.csv,0.0067528155632317,0.8458545760100994,"[[0.00297295 0.0028534  0.00234244 0.0036097  0.00366468 0.0054536
  0.00344506 0.00335213 0.0063134  0.00412484 0.00701672 0.00808618
  0.00799903 0.00729393 0.00868192 0.00848864 0.00990616 0.0111965
  0.01366131 0.01459372]]",0.0,0.0,0.0,0.0057597286067903,0.8606055974960327,0.0062665287405252
DyGrEncoder,"{'aggr': 'add', 'conv': 1, 'lstm': 1}",./results/bus_trip/ajustes/DryGrEncoder_results.csv,0.0053480779752135,0.8274307879473625,"[[0.00158379 0.0022557  0.00269659 0.00232912 0.00333076 0.00328796
  0.00368957 0.00403121 0.0040301  0.00469025 0.0046906  0.00523834
  0.00653546 0.00656828 0.00730832 0.00747108 0.00811053 0.00927377
  0.00943324 0.01040692]]",0.8298828601837158,0.006038308609277,0.0044153020717203,,,
AGCRN,"{'hidden': 5, 'K': 2}",./results/bus_trip/ajustes/AGCRN_results.csv,0.0101796528324484,0.8209915253055318,"[0.00493776 0.00616628 0.01687619 0.00848284 0.01385422 0.01123234
 0.00847663 0.01246982 0.01554475 0.01033774 0.01045513 0.00668019
 0.00714626 0.00426699 0.00573787 0.01091387 0.02025022 0.01112362
 0.01090874 0.01046308 0.01267704 0.0064227  0.00870775]",0.8131635785102844,0.0098918443545699,0.0068831089884042,,,
DCRNN,{'hidden': 60},./results/bus_trip/ajustes/AGCRN_results.csv,0.0044951178133487,0.8892304705742348,"[[0.00078619 0.00158208 0.00158366 0.00151894 0.00222975 0.00223903
  0.00266545 0.00272424 0.00315263 0.00366999 0.00382767 0.00444056
  0.00559229 0.00575177 0.00655067 0.00695422 0.00770553 0.00865759
  0.00876866 0.00950143]]",0.8985251784324646,0.0042500118725001,0.0041352077387273,,,
EvolveGCN,,,0.0939193069934845,-1.1974249040357088,"[0.16451553 0.05492865 0.05779997 0.13431476 0.07321697 0.06905702
 0.05760374 0.13273795 0.07188137 0.12892237 0.06608399 0.05041839
 0.03727062 0.1096104  0.11648583 0.05480666 0.18920808 0.06032544
 0.14095029 0.17558466 0.06116699 0.04783521 0.10541938]",-1.082849383354187,0.0925675630569458,0.1026506200432777,,,
MTGNN,"{'gcn_depth': 1, 'conv_channels': 16, 'kernel_size': 3, 'dropout': 0.25, 'gcn_true': True, 'build_adj': True, 'propalpha': 0.15, 'out_channels': 4}",../results/bus_trip/ajustes/MTGNN_results.csv,0.0119850505143404,0.7164743426179693,"[[0.0098495  0.02039349 0.00917215 0.00511972 0.01078057 0.00707697
  0.00640164 0.01254267 0.00734272 0.02312285 0.00449207 0.02156707
  0.01370561 0.01791891 0.0124503  0.00772718 0.0107612  0.01275848
  0.0145248  0.0119931 ]]",0.647306501865387,0.015414890833199,0.0149531662464141,,,
MTGNN,"{'gcn_depth': 3, 'conv_channels': 8, 'kernel_size': 3, 'dropout': 0.25, 'gcn_true': True, 'build_adj': True, 'propalpha': 0.15, 'out_channels': 4}",../results/bus_trip/ajustes/MTGNN_results.csv,0.009886129759252,0.5846670186139138,"[[0.00242576 0.01912075 0.00678346 0.00563392 0.00484132 0.0172736
  0.01074322 0.0051448  0.00619049 0.00727414 0.00452166 0.00720711
  0.0094227  0.01309509 0.01594894 0.01953388 0.01052257 0.008268
  0.01356465 0.01020656]]",0.5805248618125916,0.0114840986207127,0.0112384967505931,,,
MTGNN,"{'gcn_depth': 1, 'conv_channels': 16, 'kernel_size': 3, 'dropout': 0.25, 'gcn_true': True, 'build_adj': True, 'propalpha': 0.15, 'out_channels': 8}",../results/bus_trip/ajustes/MTGNN_results.csv,0.006898109335452318,0.8211704311291277,"[[0.00472801 0.00532578 0.00626465 0.00450085 0.00496011 0.00634789
  0.00564103 0.00784284 0.00473154 0.00870372 0.00406463 0.00797507
  0.0060201  0.00806951 0.00628438 0.00468487 0.0137848  0.00833214
  0.01104218 0.00865809]]",0.8040745258331299,0.007979816757142544,0.010733425617218018,,,
