Modelo,Params,Fichero_resultados_experimento,Loss_tst,R2_tst,Loss_nodes,R2_eval,Loss_eval,Loss_final
LSTM,,,0.0076382253319025,0.2042093078546196,"[0.00403222 0.0036478  0.00494586 0.00812658 0.0090452  0.01085262
 0.00600492 0.00834209 0.01055524 0.00898315 0.01089161 0.00966326
 0.00382278 0.00595551 0.00638575 0.00632383 0.00788057 0.00796935
 0.00845096 0.00895854 0.00972074 0.00482403 0.01029656]",0.3411639630794525,0.0097652235999703,0.0086890002712607
MPNN_LSTM,"{'hidden_size': 16, 'dropout': 0.2}",./results/gen_trip/ajustes/MPNNLSTM_results.csv,0.0458887113243906,-18.247557962578973,"[0.04005108401179314, 0.03960233926773071, 0.04245578497648239, 0.05000418797135353, 0.05457543954253197, 0.05410129576921463, 0.04520959034562111, 0.050709161907434464, 0.053248900920152664, 0.04801873117685318, 0.05347105860710144, 0.04706619307398796, 0.0329555980861187, 0.04058605059981346, 0.04236998036503792, 0.04229291155934334, 0.048861924558877945, 0.04811285063624382, 0.0527091920375824, 0.04839203506708145, 0.04876969754695892, 0.03715735301375389, 0.034719016402959824]",-16.74396383319979,0.0528199994438377,0.0593393594026565
LSTM_NOBATCH,,,0.0074374233372509,-1.98557858217748,"[0.00509721 0.00360723 0.00449464 0.00795687 0.00886323 0.01063079
 0.00569887 0.0080843  0.01016555 0.00849652 0.01056423 0.0090217
 0.00398366 0.00575905 0.00588721 0.00588269 0.007487   0.00763548
 0.00829134 0.00871283 0.00958967 0.00500623 0.01014446]",-1.845531344413757,0.0099367992952466,0.0091104749590158
DyGrEncoder,"{'aggr': 'add', 'conv': 1, 'lstm': 1}",./results/gen_trip/ajustes/DryGrEncoder_results.csv,0.0062456377781927,-1.204835775390475,"[[0.00222953 0.00414274 0.00527185 0.00363695 0.00696343 0.0038774
  0.00425991 0.00455326 0.00535265 0.00492328 0.00442764 0.0062977
  0.0077761  0.00870901 0.00833812 0.0065109  0.01039311 0.00912969
  0.00759877 0.01052072]]",-1.286138892173767,0.0089262016117572,0.0068381060846149
EvolveGCN,,,0.0638643503189086,-21.79901168003765,"[0.06528433 0.06400944 0.06873228 0.07123023 0.08077685 0.07531857
 0.06511924 0.07144833 0.07339295 0.06702664 0.07393581 0.06520939
 0.04208742 0.05207333 0.05268015 0.05274413 0.06858549 0.06692113
 0.07639943 0.06686585 0.06602885 0.04514011 0.03787047]",-20.712326049804688,0.0786801129579544,0.0826438143849372
MSTGCN,"{'nb_block': 2, 'nb_chev_filter': 8, 'nb_time_filter': 8, 'time_strides': 2, 'hidden': 80}",./results/gen_trip/ajustes/MSTGCN_results.csv,0.0074819666333496,-1.9370289398684484,"[0.00311518 0.00311704 0.00437189 0.00792171 0.00903739 0.01130146
 0.00552039 0.00835757 0.01105495 0.00910498 0.01179607 0.00997352
 0.00292997 0.00501966 0.00536561 0.00542247 0.00769414 0.00771097
 0.0090686  0.00942164 0.01020772 0.00393523 0.01063708]",-1.7901500463485718,0.0102948322892189,0.0090889846906065
DCRNN,{'hidden': 10},./results/gen_trip/ajustes/DCRNN_results.csv,0.0070832031778991,-1.876683683964485,"[0.00312542 0.00308411 0.00399769 0.00741542 0.00871796 0.01112148
 0.00500591 0.00777251 0.01028889 0.00831247 0.01086865 0.00927346
 0.00273137 0.00476821 0.00521827 0.00530535 0.00728138 0.00762993
 0.00838269 0.00902469 0.00980161 0.00392893 0.00985724]",-1.7064695358276367,0.0097465943545103,0.0093851899728178
ASTGCN,"{'nb_block': 1, 'K': 2, 'nb_chev_filter': 3, 'nb_time_filter': 3, 'time_strides': 2, 'hidden': 100}",,0.0071416832506656,-1.7837821369598612,"[0.00329172 0.00321958 0.00433024 0.00770941 0.00889455 0.0110634
 0.00530833 0.00802603 0.01033656 0.00835619 0.01073193 0.00899841
 0.00268861 0.00479623 0.00530921 0.00538984 0.0074691  0.00777197
 0.00859971 0.00899234 0.00971262 0.00380654 0.00945623]",-1.7554874420166016,0.0102710165083408,0.0089425919577479
MSTGCN,"{'nb_block': 2, 'nb_chev_filter': 8, 'nb_time_filter': 8, 'time_strides': 2, 'hidden': 80}",./results/gen_trip/ajustes/MSTGCN_results.csv,0.0074820397421717,-1.9370589338524689,"[0.00311514 0.00311704 0.00437206 0.00792167 0.00903728 0.01130153
 0.00552056 0.00835787 0.01105507 0.00910545 0.01179625 0.00997347
 0.00292979 0.00501972 0.00536575 0.00542259 0.0076943  0.00771077
 0.00906875 0.0094218  0.01020779 0.0039352  0.01063702]",-1.790188550949097,0.0102948453277349,0.0090889791026711
MTGNN,"{'gcn_depth': 2, 'conv_channels': 16, 'kernel_size': 3, 'dropout': 0.25, 'gcn_true': True, 'build_adj': True, 'propalpha': 0.15, 'out_channels': 16}",../results/gen_trip/ajustes/MTGNN_results.csv,0.0073609668761491,-1.6071976850283325,"[[0.0030695  0.00560712 0.0035393  0.00553494 0.00557202 0.00344365
  0.00870905 0.00597426 0.00644101 0.00632521 0.00536637 0.00685548
  0.00995561 0.01033662 0.00873963 0.00742043 0.01045557 0.01181773
  0.00973691 0.01231891]]",-2.2600436210632324,0.0123989237472414,0.0100760553032159
