Modelo,Params,Fichero_resultados_experimento,Loss_tst,R2_tst,Loss_nodes,R2_eval,Loss_eval,Loss_final
LSTM,,,0.0232158862054348,0.6080454750965337,"[0.01155095 0.00907443 0.01350776 0.02466182 0.02700675 0.03020457
 0.01624865 0.02449482 0.03065765 0.02415094 0.03008681 0.01983916
 0.01007804 0.02408637 0.0262256  0.02596145 0.02776702 0.02860454
 0.02591929 0.0296581  0.02919166 0.01856459 0.02642438]",0.5847846865653992,0.0296133365482091,0.0204349197447299
LSTM_NOBATCH,,,0.0216284189373254,-1.5284872916147636,"[0.01080354 0.00768281 0.0111787  0.02304618 0.02570939 0.02880381
 0.01488202 0.02203869 0.02858107 0.02197565 0.02754621 0.01711734
 0.00769552 0.02216605 0.02372437 0.0238759  0.02664356 0.02833627
 0.02529658 0.0297842  0.02815314 0.01820924 0.02420343]",-2.690715789794922,0.0282978788018226,0.0205903630703687
DyGrEncoder,"{'aggr': 'add', 'conv': 1, 'lstm': 1}",./results/branch_fault/ajustes/DryGrEncoder_results.csv,0.0205803960561752,-1.6699382640255631,"[0.00684777, 0.00684777, 0.01013299, 0.02041822, 0.02445894,
0.02904587, 0.01449465, 0.02134642, 0.02845244, 0.02226086,
0.02934907, 0.01793949, 0.0081156 , 0.02344105, 0.02194221,
0.02160697, 0.02411921, 0.02754695, 0.0250894 , 0.03095099,
0.0280344 , 0.01661811, 0.02162764]",-2.772604465484619,0.0266315434128046,0.0180944241583347
MPNN_LSTM,"{'hidden_size': 64, 'dropout': 0.2}",./results/branch_fault/ajustes/MPNNLSTM_results.csv,0.0215918496251106,-1.5651352402222445,"[0.00735167, 0.00735167, 0.01154532, 0.02334285, 0.02648866,
0.03042351, 0.01604646, 0.0235745 , 0.03023361, 0.02396033,
0.02994633, 0.01793184, 0.00764439, 0.02371605, 0.02542361,
0.02552691, 0.02776505, 0.0290255 , 0.02648084, 0.02911516,
0.02753144, 0.01799956, 0.02255236]",-2.8992807865142822,0.0282033123075962,0.0202192682772874
MSTGCN,"{'nb_block': 2, 'nb_chev_filter': 8, 'nb_time_filter': 8, 'time_strides': 2, 'hidden': 80}",./results/branch_fault/ajustes/MSTGCN_results.csv,0.0234729312360286,-1.9987574965534267,"[0.00767608 0.0077272  0.01281423 0.02381557 0.0276086  0.03066627
 0.01717561 0.02432355 0.03054542 0.02401666 0.02987548 0.0191824
 0.00835333 0.02512272 0.02640929 0.02673804 0.02920341 0.03264947
 0.0284246  0.03257706 0.0311411  0.01903555 0.02479563]",-3.38461709022522,0.0305097922682762,0.0223483685404062
EvolveGCN,,,0.1115667298436164,-13.382249823379697,"[0.09841555 0.09841555 0.21555527 0.11836041 0.13129874 0.11048613
 0.09892581 0.10456123 0.13547496 0.10600279 0.10132013 0.07161314
 0.11983149 0.07487927 0.10448765 0.12055117 0.12179578 0.13752808
 0.12891    0.13756604 0.11219724 0.04965085 0.06820749]",-19.84953117370605,0.1936863660812378,0.1295288354158401
ASTGCN,"{'nb_block': 1, 'K': 2, 'nb_chev_filter': 4, 'nb_time_filter': 4, 'time_strides': 2, 'hidden': 20}",,0.0232897214591503,-1.5870912430203594,"[0.00811413 0.00816698 0.01252194 0.02356016 0.02735564 0.03087122
 0.01706786 0.02490983 0.03121245 0.02439579 0.0300479  0.01853556
 0.00850896 0.02436344 0.02600827 0.02609278 0.02866774 0.03092106
 0.02808488 0.03220773 0.03025428 0.01902575 0.02476922]",-3.066532850265503,0.0313888154923915,0.0231802985072135
DCRNN,{'hidden': 60},./results/branch_fault/ajustes/DCRNN_results.csv,0.0207400359213352,-1.7439570916440057,"[0.00727675 0.00727675 0.01063774 0.02098083 0.02421462 0.02867033
 0.0152623  0.02180763 0.02830558 0.02232693 0.02843057 0.01745302
 0.00808009 0.02093627 0.02230139 0.02248499 0.02492102 0.02662345
 0.02460204 0.02803987 0.02707315 0.01673392 0.02258159]",-2.8388917446136475,0.0258991606533527,0.0195689145475626
MTGNN,"{'gcn_depth': 2, 'conv_channels': 16, 'kernel_size': 3, 'dropout': 0.25, 'gcn_true': True, 'build_adj': True, 'propalpha': 0.15, 'out_channels': 16}",../results/branch_fault/ajustes/MTGNN_results.csv,0.017566492781043,-0.0422485305574804,"[0.0072689 , 0.00726163, 0.01242577, 0.02398615, 0.02886017,
0.03202652, 0.01756518, 0.02480936, 0.03191571, 0.02484342,
0.03157101, 0.01889364, 0.00800377, 0.02353035, 0.02579026,
0.02559387, 0.02986885, 0.03252576, 0.02916552, 0.03286723,
0.03079522, 0.01773339, 0.024271  ]",-3.689293622970581,0.0271165799349546,0.0279491953551769
AGCRN,"{'hidden': 10, 'K': 2, 'embedding': 3}",./results/branch_fault/ajustes/AGCRN_results.csv,0.027658574283123,0.554015425893197,"[0.00910762 0.00783311 0.01740647 0.03313275 0.02999356 0.03317167
 0.01705134 0.02684563 0.04282426 0.02613324 0.03642021 0.01946782
 0.01474835 0.04348142 0.0277418  0.03430035 0.03039218 0.03401705
 0.03095104 0.03377787 0.03794372 0.02462901 0.0247767 ]",0.5360419750213623,0.0330603644251823,0.0219810958951711
STConv,"{'out_channels': 32, 'kernel_size': 5, 'hidden_channels': 64, 'normalization': 'sym'}",,0.06140688806772232,-5.958454086514008,"[0.03476811 0.03482994 0.05469698 0.07133773 0.0797296  0.07610483
 0.06690849 0.07297329 0.07887809 0.06820583 0.0774692  0.04942467
 0.04816333 0.04324067 0.04934151 0.04987588 0.07256018 0.07435869
 0.07769404 0.07628203 0.0725733  0.03267523 0.05026659]",-8.272247314453125,0.07880080491304398,0.07721566408872604
