nb_block,nb_chev_filter,nb_time_filter,hidden,time_strides,loss_final,r2_eval_final,loss_eval_final,r2_test,loss_test,loss_nodes
1,2,2,50,2,0.03954848274588585,-17.593339920043945,0.04155992716550827,-19.15819193396587,0.04678088799118996,"[0.03270538151264191, 0.029241586104035378, 0.03888066112995148, 0.05607134848833084, 0.0662606880068779, 0.06270540505647659, 0.04831063374876976, 0.05724913254380226, 0.06506698578596115, 0.04328002408146858, 0.06091795116662979, 0.046382587403059006, 0.0280167069286108, 0.041187066584825516, 0.03357690945267677, 0.03360826149582863, 0.05344177782535553, 0.054060496389865875, 0.05962114408612251, 0.0426727794110775, 0.055854711681604385, 0.03343678638339043, 0.03341146558523178]"
1,2,2,80,2,0.0395442396402359,-17.593669891357422,0.04156486317515373,-19.157663126777745,0.04676974564790726,"[0.03270575776696205, 0.02924257144331932, 0.03888890519738197, 0.05607319623231888, 0.06626483798027039, 0.06270630657672882, 0.04831404983997345, 0.05725081264972687, 0.0649205818772316, 0.043266646564006805, 0.060917895287275314, 0.04627465829253197, 0.028011439368128777, 0.04118957743048668, 0.03356817737221718, 0.033614255487918854, 0.05344034358859062, 0.05406277999281883, 0.05961546674370766, 0.04267452657222748, 0.055875662714242935, 0.03343264013528824, 0.0333930142223835]"
1,2,2,100,2,0.03954802453517914,-17.593149185180664,0.04155987873673439,-19.158096562949332,0.0467807799577713,"[0.03270545229315758, 0.029241763055324554, 0.03887949883937836, 0.0560716837644577, 0.0662614107131958, 0.06270553916692734, 0.04831124469637871, 0.05724908411502838, 0.0650709718465805, 0.04327620565891266, 0.06091858819127083, 0.046382807195186615, 0.028016183525323868, 0.04118755832314491, 0.033576399087905884, 0.03360700607299805, 0.053441744297742844, 0.054060861468315125, 0.059620603919029236, 0.042671140283346176, 0.05585440993309021, 0.03343668580055237, 0.03341120854020119]"
1,2,2,50,5,0.2886258661746979,-233.60989379882812,0.29344961047172546,-257.0293547017673,0.3124779462814331,"[0.28308817744255066, 0.2847968339920044, 0.2934965193271637, 0.32013455033302307, 0.34901997447013855, 0.3185114562511444, 0.32574182748794556, 0.31804707646369934, 0.3049849569797516, 0.316142737865448, 0.3191605806350708, 0.29901912808418274, 0.3084627687931061, 0.3101878762245178, 0.31376388669013977, 0.3158048391342163, 0.32561954855918884, 0.3213687837123871, 0.3392208516597748, 0.31311386823654175, 0.3118131458759308, 0.3070565462112427, 0.288437157869339]"
1,2,2,80,5,0.2886258661746979,-233.60989379882812,0.29344961047172546,-257.0293558657043,0.3124779462814331,"[0.28308814764022827, 0.2847968339920044, 0.2934965491294861, 0.3201345205307007, 0.34902000427246094, 0.3185114860534668, 0.32574185729026794, 0.31804707646369934, 0.3049849569797516, 0.3161427676677704, 0.3191605806350708, 0.29901909828186035, 0.3084627687931061, 0.3101878762245178, 0.31376388669013977, 0.3158048093318939, 0.32561954855918884, 0.3213687837123871, 0.3392208516597748, 0.31311386823654175, 0.3118131458759308, 0.30705657601356506, 0.288437157869339]"
1,2,2,100,5,0.2886258661746979,-233.60989379882812,0.29344961047172546,-257.0293547531886,0.3124779462814331,"[0.28308817744255066, 0.2847968339920044, 0.2934965193271637, 0.3201345205307007, 0.34901997447013855, 0.3185114562511444, 0.32574182748794556, 0.31804707646369934, 0.3049849569797516, 0.316142737865448, 0.3191605806350708, 0.29901912808418274, 0.3084627687931061, 0.3101878762245178, 0.31376391649246216, 0.3158048391342163, 0.32561954855918884, 0.3213688135147095, 0.3392208516597748, 0.31311386823654175, 0.3118131160736084, 0.30705660581588745, 0.2884371280670166]"
1,2,2,50,10,0.06634464114904404,-25.84861183166504,0.049941156059503555,-28.15611566476074,0.05684950202703476,"[0.039610572159290314, 0.036496374756097794, 0.0461125373840332, 0.06392733752727509, 0.07546880096197128, 0.06902150809764862, 0.05712071433663368, 0.06558161973953247, 0.06959888339042664, 0.06294922530651093, 0.06851884722709656, 0.05299431458115578, 0.03960653021931648, 0.049393169581890106, 0.053040165454149246, 0.052934445440769196, 0.0636085495352745, 0.0621819905936718, 0.07091312110424042, 0.06225167214870453, 0.06276363134384155, 0.04390774294734001, 0.03953663259744644]"
1,2,2,80,10,0.06640826910734177,-25.879684448242188,0.049963369965553284,-28.187158573749105,0.0568559393286705,"[0.03964345157146454, 0.036530427634716034, 0.04614630714058876, 0.06391621381044388, 0.07550739496946335, 0.06843583285808563, 0.05715884268283844, 0.0656166672706604, 0.06962985545396805, 0.06298451870679855, 0.06855347007513046, 0.05302787199616432, 0.039645563811063766, 0.049423523247241974, 0.05307747423648834, 0.05297230929136276, 0.0636458769440651, 0.06221842020750046, 0.07095182687044144, 0.062286488711833954, 0.06279788911342621, 0.04394541680812836, 0.03957090899348259]"
1,2,2,100,10,0.06633200496435165,-25.843883514404297,0.04992067813873291,-28.148928411500354,0.05682267248630524,"[0.03960154950618744, 0.03648789972066879, 0.046103864908218384, 0.06388672441244125, 0.07546177506446838, 0.06861842423677444, 0.05711345747113228, 0.06557323038578033, 0.06958910822868347, 0.06294102221727371, 0.06851030886173248, 0.05298547446727753, 0.039599716663360596, 0.049381323158741, 0.05303264409303665, 0.05292709544301033, 0.06360099464654922, 0.0621742345392704, 0.07090611010789871, 0.06224321573972702, 0.06275496631860733, 0.043900422751903534, 0.0395280085504055]"
1,4,4,50,2,0.21253831684589386,-177.83651733398438,0.21519377827644348,-196.8594281289513,0.2286142259836197,"[0.21147102117538452, 0.21424394845962524, 0.21687468886375427, 0.23160132765769958, 0.2522056996822357, 0.22857563197612762, 0.23888404667377472, 0.22878606617450714, 0.2164149284362793, 0.2282658815383911, 0.22941642999649048, 0.21853399276733398, 0.23280592262744904, 0.23062148690223694, 0.2307971715927124, 0.23295532166957855, 0.2361222207546234, 0.23475831747055054, 0.24455749988555908, 0.22683441638946533, 0.2259340137243271, 0.22950764000415802, 0.21795935928821564]"
1,4,4,80,2,0.21253831684589386,-177.83651733398438,0.21519380807876587,-196.85942630150237,0.2286142259836197,"[0.21147096157073975, 0.21424388885498047, 0.21687465906143188, 0.2316012978553772, 0.25220564007759094, 0.2285754680633545, 0.2388840764760971, 0.2287861853837967, 0.21641486883163452, 0.2282658815383911, 0.22941631078720093, 0.21853405237197876, 0.23280595242977142, 0.23062138259410858, 0.23079721629619598, 0.23295533657073975, 0.2361222803592682, 0.23475834727287292, 0.24455730617046356, 0.22683444619178772, 0.2259339839220047, 0.2295076698064804, 0.21795929968357086]"
1,4,4,100,2,0.21253837645053864,-177.83653259277344,0.21519385278224945,-196.85946422856424,0.22861431539058685,"[0.2114710509777069, 0.21424400806427002, 0.21687468886375427, 0.23160138726234436, 0.25220581889152527, 0.22857558727264404, 0.2388841211795807, 0.2287861406803131, 0.21641504764556885, 0.2282659411430359, 0.2294166088104248, 0.21853405237197876, 0.23280596733093262, 0.2306215763092041, 0.23079726099967957, 0.23295539617538452, 0.2361222803592682, 0.23475845158100128, 0.24455758929252625, 0.2268344759941101, 0.22593413293361664, 0.2295076996088028, 0.21795937418937683]"
