gcn_depth,conv_channels,kernel_size,dropout,gcn_true,build_adj,propalpha,out_channels,loss_final,r2_eval_final,loss_eval_final,r2_test,loss_test,loss_nodes
2,8,3,0.25,True,True,0.15,8,0.011933927424252033,-0.9414734840393066,0.0070438077673316,-1.71626306223348,0.006603345740586519,"[[0.007029117550700903, 0.004021259490400553, 0.0027977379504591227, 0.003368125529959798, 0.00679105706512928, 0.004150369204580784, 0.0045714047737419605, 0.004603955429047346, 0.007054948713630438, 0.010566606186330318, 0.005449820309877396, 0.011874761432409286, 0.00598151283338666, 0.007425489369779825, 0.005584006197750568, 0.005476698745042086, 0.009190562181174755, 0.011629229411482811, 0.006959096062928438, 0.007541145663708448]]"
2,8,3,0.25,True,True,0.15,16,0.006137287709861994,-0.08300533145666122,0.004229082725942135,-0.5036245481516022,0.003771590068936348,"[[0.001237940858118236, 0.003674688283354044, 0.0015434410888701677, 0.003098956076428294, 0.0015254857717081904, 0.0012416751123964787, 0.0019193013431504369, 0.003833367954939604, 0.005477069411426783, 0.0022304262965917587, 0.0022708200849592686, 0.005205524619668722, 0.0064371866174042225, 0.003656538436189294, 0.005485201720148325, 0.003751211566850543, 0.004891593009233475, 0.005332895088940859, 0.005764184053987265, 0.006854300387203693]]"
2,4,3,0.25,True,True,0.15,16,0.04494500160217285,-9.686365127563477,0.037005044519901276,-11.405066280445894,0.03232717886567116,"[[0.031102469190955162, 0.032648518681526184, 0.032810110598802567, 0.03139191493391991, 0.033011969178915024, 0.03204761818051338, 0.03303040564060211, 0.033430855721235275, 0.03202075511217117, 0.03213440626859665, 0.031861502677202225, 0.03238191083073616, 0.03260339796543121, 0.03131609782576561, 0.03297536447644234, 0.0312057975679636, 0.03250150382518768, 0.03298616036772728, 0.03247753530740738, 0.032605186104774475]]"
3,16,3,0.25,True,True,0.15,16,0.011777092702686787,-1.455873727798462,0.008393367752432823,-2.123678478777353,0.007460397202521563,"[[0.0016526860417798162, 0.0072550661861896515, 0.002525540767237544, 0.0031719361431896687, 0.00437835743650794, 0.004677698016166687, 0.01035041268914938, 0.01378068421036005, 0.003694946877658367, 0.00351976091042161, 0.004009096417576075, 0.007270724978297949, 0.005388121120631695, 0.03937581554055214, 0.00513819744810462, 0.004500977229326963, 0.007339851465076208, 0.006774858105927706, 0.007997332140803337, 0.006405897904187441]]"
1,8,3,0.25,True,True,0.15,4,0.01514763105660677,-3.192204236984253,0.011433062143623829,-3.593987595411585,0.010108032263815403,"[[0.0049039022997021675, 0.019939454272389412, 0.007327746134251356, 0.0029728764202445745, 0.0033477996475994587, 0.023724354803562164, 0.003918927162885666, 0.012832381762564182, 0.004782555159181356, 0.003684115596115589, 0.00440628919750452, 0.008504842408001423, 0.013646646402776241, 0.01789482869207859, 0.0067116073332726955, 0.012484489008784294, 0.009863875806331635, 0.015354786068201065, 0.013131584040820599, 0.01272757537662983]]"
1,4,3,0.25,True,True,0.15,8,0.04493798688054085,-9.705501556396484,0.036991655826568604,-11.42582807908623,0.03232539817690849,"[[0.03110206313431263, 0.03264728561043739, 0.03281053900718689, 0.03139190375804901, 0.03299935907125473, 0.03204686939716339, 0.033029913902282715, 0.033427681773900986, 0.032020606100559235, 0.032134972512722015, 0.03186018764972687, 0.032381873577833176, 0.03260040283203125, 0.03131607919931412, 0.03297436982393265, 0.031206253916025162, 0.032495930790901184, 0.03298694267868996, 0.032477378845214844, 0.03259730339050293]]"
2,16,3,0.25,True,True,0.15,8,0.013302180916070938,-1.6081876754760742,0.008430029265582561,-2.2041592608908744,0.007463482208549976,"[[0.009258203208446503, 0.002844726899638772, 0.012989882379770279, 0.002518606139346957, 0.0025782219599932432, 0.009530997835099697, 0.003936316817998886, 0.0069677941501140594, 0.009197692386806011, 0.003009133506566286, 0.006136271636933088, 0.004906109068542719, 0.00696664210408926, 0.0121295265853405, 0.00849416945129633, 0.007642752956598997, 0.0073801446706056595, 0.014945722185075283, 0.008596071042120457, 0.00924064964056015]]"
1,8,3,0.25,True,True,0.15,16,0.010232152417302132,-0.8891273736953735,0.006420284043997526,-1.726074414595915,0.006224362179636955,"[[0.00255738478153944, 0.0044868104159832, 0.003281604964286089, 0.0038428755942732096, 0.003409602679312229, 0.0035783343482762575, 0.004129703156650066, 0.006960547063499689, 0.007775180507451296, 0.0045297881588339806, 0.0048217675648629665, 0.009158851578831673, 0.005898178555071354, 0.006226325873285532, 0.00698615750297904, 0.009684575721621513, 0.008867115713655949, 0.009593985043466091, 0.010390919633209705, 0.008307537995278835]]"
2,16,3,0.25,True,True,0.15,8,0.013302180916070938,-1.6081876754760742,0.008430029265582561,-2.2041592608908744,0.007463482208549976,"[[0.009258203208446503, 0.002844726899638772, 0.012989882379770279, 0.002518606139346957, 0.0025782219599932432, 0.009530997835099697, 0.003936316817998886, 0.0069677941501140594, 0.009197692386806011, 0.003009133506566286, 0.006136271636933088, 0.004906109068542719, 0.00696664210408926, 0.0121295265853405, 0.00849416945129633, 0.007642752956598997, 0.0073801446706056595, 0.014945722185075283, 0.008596071042120457, 0.00924064964056015]]"
2,8,3,0.25,True,True,0.15,8,0.01785048097372055,-4.134255409240723,0.014061445370316505,-4.589671265726612,0.013168364763259888,"[[0.0037669409066438675, 0.021805422380566597, 0.033631548285484314, 0.0091044120490551, 0.005908290855586529, 0.009246245957911015, 0.020137950778007507, 0.006764761637896299, 0.005711577832698822, 0.006203227210789919, 0.005674563813954592, 0.03834736719727516, 0.00652287807315588, 0.009299303404986858, 0.02370711788535118, 0.010707885026931763, 0.015437405556440353, 0.00904020294547081, 0.008018750697374344, 0.014331413432955742]]"
1,4,3,0.25,True,True,0.15,4,0.05773135647177696,-50.37446594238281,0.045736148953437805,-44.306490943999,0.04612583667039871,"[[0.2803061306476593, 0.01629689894616604, 0.010288788005709648, 0.004464718047529459, 0.007843839935958385, 0.00891904253512621, 0.015844933688640594, 0.009098434820771217, 0.013574357144534588, 0.00996175967156887, 0.01902969740331173, 0.05328703671693802, 0.010281577706336975, 0.015395130030810833, 0.010568448342382908, 0.022547461092472076, 0.33414772152900696, 0.014339873567223549, 0.014233856461942196, 0.05208705738186836]]"
1,16,3,0.25,True,True,0.15,4,0.05107304826378822,-23.149497985839844,0.0392075851559639,-22.710716384304437,0.037153519690036774,"[[0.025696467608213425, 0.028831860050559044, 0.020902646705508232, 0.06295966356992722, 0.026749033480882645, 0.028263935819268227, 0.02382110431790352, 0.033269356936216354, 0.029641836881637573, 0.03743165358901024, 0.02297825738787651, 0.02518240176141262, 0.02551611140370369, 0.038175154477357864, 0.029250068590044975, 0.03381653502583504, 0.028005244210362434, 0.024492226541042328, 0.06226000189781189, 0.1358269900083542]]"
2,16,3,0.25,True,True,0.15,8,0.013302180916070938,-1.6081876754760742,0.008430029265582561,-2.2041592608908744,0.007463482208549976,"[[0.009258203208446503, 0.002844726899638772, 0.012989882379770279, 0.002518606139346957, 0.0025782219599932432, 0.009530997835099697, 0.003936316817998886, 0.0069677941501140594, 0.009197692386806011, 0.003009133506566286, 0.006136271636933088, 0.004906109068542719, 0.00696664210408926, 0.0121295265853405, 0.00849416945129633, 0.007642752956598997, 0.0073801446706056595, 0.014945722185075283, 0.008596071042120457, 0.00924064964056015]]"
1,8,3,0.25,True,True,0.15,16,0.010232152417302132,-0.8891273736953735,0.006420284043997526,-1.726074414595915,0.006224362179636955,"[[0.00255738478153944, 0.0044868104159832, 0.003281604964286089, 0.0038428755942732096, 0.003409602679312229, 0.0035783343482762575, 0.004129703156650066, 0.006960547063499689, 0.007775180507451296, 0.0045297881588339806, 0.0048217675648629665, 0.009158851578831673, 0.005898178555071354, 0.006226325873285532, 0.00698615750297904, 0.009684575721621513, 0.008867115713655949, 0.009593985043466091, 0.010390919633209705, 0.008307537995278835]]"
