Modelo,Params,Fichero_resultados_experimento,Loss_tst,R2_tst,Loss_nodes,R2_eval,Loss_eval,Loss_final
LSTM,,,0.003699742257595,0.3989223899133821,"[0.0036937  0.00202668 0.00244704 0.00374463 0.00419929 0.00527257
 0.00294483 0.00416333 0.00547902 0.00413728 0.00547564 0.00363029
 0.0021692  0.00256318 0.00268317 0.00281285 0.00372675 0.00384846
 0.00411741 0.00446056 0.00483555 0.00248678 0.00417587]",0.4355492293834686,0.0036842699628323,0.0032956388313323
LSTM_NOBATCH,,,0.0047870227135717,-1.8397374819815573,"[0.01389701 0.00177465 0.00324512 0.0049619  0.00552924 0.00645773
 0.00328709 0.00499972 0.00638928 0.00454824 0.00626022 0.00394944
 0.00223843 0.00305292 0.00319909 0.0033847  0.00462372 0.00465495
 0.00524651 0.00539646 0.00567997 0.00249388 0.00483124]",-1.5773859024047852,0.0040849256329238,0.0048269839026033
DyGrEncoder,"{'aggr': 'add', 'conv': 1, 'lstm': 2}",./results/branch_trip/ajustes/DryGrEncoder_results.csv,0.0027190397959202,-0.5493976034532609,"[0.00144504, 0.00118949, 0.00174155, 0.00299568, 0.00357512,
0.0041599 , 0.00211457, 0.00315323, 0.00418482, 0.00291078,
0.00395852, 0.00252104, 0.00133672, 0.00211848, 0.00199923,
0.00219806, 0.00274458, 0.00291574, 0.00337931, 0.00334127,
0.00362775, 0.00144584, 0.0031345 ]",-0.4868262112140655,0.0024250007700175,0.0026771037373691
MPNN_LSTM,"{'hidden_size': 32, 'dropout': 0.8}",./results/branch_trip/ajustes/MPNNLSTM_results.csv,0.0042049558833241,-1.4533015653259538,"[0.00196813, 0.00153426, 0.00269284, 0.00475129, 0.00552431,
0.00659464, 0.00332099, 0.00501688, 0.00648461, 0.00454444,
0.00626906, 0.00382037, 0.00183276, 0.00281498, 0.0031937 ,
0.00341285, 0.00457117, 0.00472126, 0.0052734 , 0.00539828,
0.00571478, 0.00222709, 0.00421515]",-1.1953718662261963,0.0036322565283626,0.0038654759991914
MSTGCN,"{'nb_block': 2, 'nb_chev_filter': 8, 'nb_time_filter': 8, 'time_strides': 2, 'hidden': 80}",./results/branch_trip/ajustes/MSTGCN_results.csv,0.0040466771461069,-1.4047718254856216,"[0.00195064 0.00158103 0.0026879  0.00473193 0.00519493 0.00650364
 0.00331662 0.00489371 0.00612122 0.00433888 0.00619928 0.00373048
 0.00188002 0.00280655 0.00286096 0.00318391 0.00402609 0.0048332
 0.00536989 0.00509547 0.00570232 0.00196681 0.00409808]",-1.1724196672439575,0.0036059024278074,0.0036407781299203
EvolveGCN,,,0.0437279716134071,-20.67512147850114,"[0.02897943 0.02597875 0.02557625 0.05417416 0.06304479 0.05999915
 0.04663856 0.05456145 0.08971252 0.0529139  0.05691608 0.04389703
 0.02892809 0.0360097  0.01481413 0.01453597 0.05192066 0.05150241
 0.05878355 0.0529777  0.05204344 0.01073405 0.0311017 ]",-16.5207462310791,0.0377236157655715,0.0383217893540859
ASTGCN,"{'nb_block': 1, 'K': 2, 'nb_chev_filter': 4, 'nb_time_filter': 4, 'time_strides': 2, 'hidden': 20}",,0.003288798732683,-0.9841391144711834,"[0.00142264 0.00111268 0.00193647 0.0036899  0.00443736 0.00562924
 0.00249418 0.0039375  0.00552233 0.00363715 0.00533194 0.00302354
 0.00131415 0.0019452  0.00222631 0.00245715 0.00346428 0.00363127
 0.00418274 0.00434555 0.00471683 0.00148871 0.00369525]",-0.8215535283088684,0.0030079619027674,0.0033697737380862
DCRNN,{'hidden': 60},./results/branch_trip/ajustes/DCRNN_results.csv,0.0035116448998451,-1.3695187680624747,"[0.00239086 0.00207138 0.0026651  0.00374208 0.00405001 0.00538586
 0.00266053 0.00399    0.00544682 0.00392911 0.00511341 0.00341475
 0.00191857 0.00231787 0.00251196 0.00272462 0.00345343 0.00366158
 0.00394082 0.00440188 0.0047261  0.00198288 0.00426821]",-1.325023174285889,0.0035972057376056,0.0037785011809319
MTGNN,"{'gcn_depth': 2, 'conv_channels': 8, 'kernel_size': 3, 'dropout': 0.25, 'gcn_true': True, 'build_adj': True, 'propalpha': 0.15, 'out_channels': 16}",../results/branch_trip/ajustes/MTGNN_results.csv,0.0037715900689363,-0.5036245481516022,"[0.00241523, 0.00201787, 0.00303136, 0.00489873, 0.00564012,
0.00646065, 0.00360156, 0.00525135, 0.00642992, 0.00475986,
0.00627596, 0.00403555, 0.00210768, 0.00306443, 0.00344519,
0.00360932, 0.00475396, 0.00479367, 0.00540779, 0.00526634,
0.00568243, 0.00253355, 0.00407069]",-0.0830053314566612,0.0042290827259421,0.0061372877098619
AGCRN,"{'hidden': 10, 'K': 2, 'embedding': 3}",./results/branch_trip/ajustes/AGCRN_results.csv,0.0066570080816745,-0.3243540718663043,"[0.00697844 0.00445916 0.01291979 0.00432548 0.00719182 0.00875631
 0.00520966 0.00510695 0.00810128 0.0070544  0.00850379 0.00498723
 0.00476444 0.00985099 0.00560197 0.00619446 0.00519169 0.00606278
 0.0062966  0.00875667 0.00745516 0.00507161 0.00427053]",-0.1600155383348465,0.0062650647014379,0.005490880459547
