Modelo,Params,Fichero_resultados_experimento,Loss_tst,R2_tst,Loss_nodes,R2_eval,Loss_eval,Loss_final
LSTM,,,0.0172980930656194,0.6037163310745508,"[0.0107881  0.01006583 0.01300934 0.01969145 0.02225712 0.02407544
 0.01556233 0.02015712 0.02518038 0.0203719  0.02314059 0.01341688
 0.00739392 0.01193964 0.01307484 0.01460227 0.01956771 0.02106537
 0.02210989 0.02217047 0.02278903 0.00903477 0.01639171]",0.5413459539413452,0.0246636159718036,0.018977653235197
LSTM_NOBATCH,,,0.0174589212983846,-1.1221123549657763,"[0.01527361 0.01028231 0.01348895 0.01959247 0.02210218 0.02342959
 0.01492726 0.01987102 0.02416081 0.01901856 0.02225309 0.01275471
 0.00851967 0.0134995  0.01405308 0.01555647 0.01964548 0.02054593
 0.02198672 0.02144486 0.02155974 0.01090016 0.01668906]",-2.717828750610352,0.0259201619774103,0.0186120066791772
MPNN_LSTM,"{'hidden_size': 64, 'dropout': 0.2}",./results/bus_fault/ajustes/MPNNLSTM_results.csv,0.0167456232011318,-0.6824212038350321,"[0.01131066, 0.01028694, 0.01312307, 0.01990961, 0.0224936 ,
0.02480194, 0.01490295, 0.02033628, 0.02466939, 0.01970579,
0.0234132 , 0.01255642, 0.00721198, 0.01196888, 0.0129396 ,
0.01451634, 0.01972018, 0.02050964, 0.02197419, 0.02207214,
0.0226563 , 0.00875515, 0.0174094 ]",-1.9816094636917112,0.0250716917216777,0.0171113703399896
DyGrEncoder,"{'aggr': 'mean', 'conv': 1, 'lstm': 1}",./results/bus_fault/ajustes/DryGrEncoder_results.csv,0.0164101962000131,-0.6647721516903595,"[0.01149997, 0.01013273, 0.01359688, 0.01971742, 0.02125908,
0.02257106, 0.01521202, 0.01939001, 0.02383105, 0.01861029,
0.02228336, 0.01380788, 0.00891172, 0.01116849, 0.0123972 ,
0.01463543, 0.01913368, 0.01904311, 0.02143716, 0.02109688,
0.02161569, 0.00884574, 0.0186217 ]",-1.7005923986434937,0.0242138672620058,0.0150783294811844
MSTGCN,"{'nb_block': 2, 'nb_chev_filter': 8, 'nb_time_filter': 8, 'time_strides': 2, 'hidden': 50}",./results/bus_fault/ajustes/MSTGCN_results.csv,0.0184427257627248,-0.9033118733587436,"[0.01271164 0.01194169 0.01417474 0.0206111  0.02274162 0.02486217
 0.01701844 0.02155102 0.02530228 0.01935146 0.02257049 0.01642459
 0.00868022 0.01314433 0.01368421 0.01550902 0.02068699 0.02541781
 0.02368255 0.02249283 0.02398901 0.0103127  0.01732178]",-2.1713383197784424,0.0274091158062219,0.0178968589752912
EvolveGCN,,,0.1191266700625419,-22.32053378646547,"[0.10783052 0.08992592 0.07309368 0.1309617  0.14930408 0.14603177
 0.10926818 0.13131721 0.18043748 0.11928436 0.13853079 0.10202999
 0.11279473 0.13086669 0.07452755 0.06279925 0.14780991 0.15376206
 0.15708074 0.14600313 0.13740218 0.05050699 0.08834454]",-33.361331939697266,0.1560083180665969,0.148708313703537
ASTGCN,"{'nb_block': 1, 'nb_chev_filter': 4, 'nb_time_filter': 4, 'time_strides': 2, 'hidden': 50}",,0.01726677082479,-0.6573515348195498,"[0.01166018 0.00987602 0.01288769 0.02133695 0.02234019 0.02456371
 0.01449071 0.02014396 0.02553277 0.01953288 0.02313279 0.0123804
 0.00685328 0.01176489 0.01244538 0.01419579 0.02092564 0.02070151
 0.02205656 0.02190771 0.02234751 0.00906248 0.01699671]",-2.153488874435425,0.0273496061563491,0.0197756960988044
DCRNN,{'hidden': 40},./results/bus_fault/ajustes/DCRNN_results.csv,0.0166914835572242,-0.8422175517564876,"[0.01195712 0.01082636 0.01312738 0.01858407 0.02097741 0.02298567
 0.01509817 0.01907666 0.02328411 0.01859375 0.021942   0.01281628
 0.00927474 0.01245744 0.01298357 0.01421501 0.01839854 0.0192174
 0.02033224 0.02021511 0.02071698 0.01051063 0.01631351]",-2.3064939975738525,0.0235153082758188,0.018196377903223
MTGNN,"{'gcn_depth': 1, 'conv_channels': 16, 'kernel_size': 3, 'dropout': 0.25, 'gcn_true': True, 'build_adj': True, 'propalpha': 0.15, 'out_channels': 16}",../results/bus_fault/ajustes/MTGNN_results.csv,0.0203928723931312,-2.5251347797409633,"[0.01398317, 0.01205558, 0.01444142, 0.02107183, 0.02370468,
0.0259469 , 0.01613376, 0.02163996, 0.02745936, 0.02090888,
0.02456795, 0.0138727 , 0.00858446, 0.01327342, 0.01407145,
0.01557283, 0.02119266, 0.02273463, 0.02379031, 0.02360248,
0.02382141, 0.01037604, 0.01837175]",-2.6748790740966797,0.0236489344388246,0.0223793406039476
AGCRN,"{'hidden': 10, 'K': 2, 'embedding': 3}",./results/bus_fault/ajustes/AGCRN_results.csv,0.0210626106709241,0.1874480616445092,"[0.01359289 0.01188067 0.01463335 0.0199407  0.02651486 0.02480469
 0.02190785 0.02155132 0.02724375 0.02153073 0.04701412 0.01554171
 0.00988018 0.01355613 0.02230205 0.0197366  0.02519252 0.02128948
 0.02568601 0.0249305  0.02475203 0.0114116  0.01954627]",0.5269676446914673,0.0264557600021362,0.0207309294492006
STConv,"{'out_channels': 32, 'kernel_size': 5, 'hidden_channels': 64, 'normalization': 'sym'}",,0.0618448480963707,-11.337014734563123,"[0.05048352 0.04700014 0.0519819  0.07070743 0.08342436 0.07649166
 0.06462315 0.06963227 0.07195495 0.06461913 0.07114659 0.05385286
 0.04296492 0.05511559 0.05589619 0.05630299 0.06777902 0.06684764
 0.07995838 0.06656922 0.06375875 0.05249704 0.03882394]",-13.812034606933594,0.0814432501792907,0.0491338707506656
STConv,"{'out_channels': 32, 'kernel_size': 5, 'hidden_channels': 64, 'normalization': 'sym'}",,0.0618448480963707,-11.337014734563123,"[0.05048352 0.04700014 0.0519819  0.07070743 0.08342436 0.07649166
 0.06462315 0.06963227 0.07195495 0.06461913 0.07114659 0.05385286
 0.04296492 0.05511559 0.05589619 0.05630299 0.06777902 0.06684764
 0.07995838 0.06656922 0.06375875 0.05249704 0.03882394]",-13.812034606933594,0.08144325017929077,0.049133870750665665
